iter	Passed	Remaining
0	167	16534
1	199	9756
2	248	8019
3	296	7127
4	323	6151
5	358	5621
6	394	5238
7	432	4968
8	460	4659
9	489	4403
10	516	4182
11	544	3995
12	577	3864
13	607	3732
14	653	3704
15	697	3663
16	729	3563
17	767	3495
18	813	3470
19	845	3382
20	877	3301
21	911	3230
22	954	3195
23	982	3111
24	1014	3042
25	1055	3003
26	1084	2930
27	1115	2868
28	1144	2802
29	1172	2734
30	1209	2692
31	1244	2644
32	1272	2584
33	1300	2523
34	1337	2483
35	1364	2425
36	1391	2369
37	1419	2315
38	1446	2262
39	1481	2221
40	1529	2201
41	1557	2151
42	1589	2107
43	1617	2058
44	1650	2016
45	1692	1987
46	1723	1943
47	1751	1896
48	1778	1851
49	1805	1805
50	1832	1760
51	1873	1729
52	1907	1691
53	1938	1650
54	1970	1612
55	2019	1586
56	2055	1550
57	2099	1520
58	2135	1484
59	2165	1443
60	2192	1401
61	2220	1360
62	2247	1319
63	2274	1279
64	2301	1239
65	2334	1202
66	2369	1166
67	2416	1137
68	2467	1108
69	2504	1073
70	2537	1036
71	2565	997
72	2597	960
73	2628	923
74	2663	887
75	2690	849
76	2717	811
77	2745	774
78	2763	734
79	2790	697
80	2824	662
81	2857	627
82	2885	590
83	2912	554
84	2939	518
85	2967	483
86	2986	446
87	3031	413
88	3078	380
89	3109	345
90	3140	310
91	3173	275
92	3208	241
93	3251	207
94	3284	172
95	3314	138
96	3380	104
97	3408	69
98	3441	34
99	3475	0
