iter	RMSE
0	8.394299434
1	6.337118685
2	4.794334804
3	3.972389515
4	3.451604395
5	3.115448904
6	2.920839987
7	2.729701594
8	2.465106121
9	2.380536506
10	2.303895435
11	2.210581171
12	2.144059764
13	2.103039835
14	1.997057826
15	1.908543401
16	1.814566501
17	1.768900793
18	1.737150344
19	1.683614769
20	1.626347385
21	1.585255798
22	1.553372991
23	1.528799184
24	1.491392426
25	1.488480217
26	1.472303497
27	1.428537015
28	1.389416499
29	1.379149107
30	1.362870081
31	1.34569988
32	1.341130852
33	1.33957853
34	1.312716338
35	1.28219462
36	1.255507389
37	1.229834829
38	1.196453927
39	1.172968905
40	1.141867157
41	1.115761366
42	1.100850426
43	1.095525513
44	1.076504862
45	1.055738332
46	1.03578744
47	1.030815173
48	1.018220937
49	1.00425882
50	0.9801544165
51	0.9739840493
52	0.9564412525
53	0.9396575767
54	0.9267640499
55	0.9201812966
56	0.9051448994
57	0.8992442195
58	0.8775791935
59	0.8653031756
60	0.8440324825
61	0.8324197756
62	0.8239559074
63	0.8223638169
64	0.8160762498
65	0.8044776593
66	0.780947719
67	0.772292917
68	0.7439683284
69	0.7400089165
70	0.7280162326
71	0.7240712734
72	0.7114958144
73	0.7052694343
74	0.6944409517
75	0.6880148491
76	0.6646995891
77	0.6619508854
78	0.6550139461
79	0.6462524404
80	0.6449954057
81	0.6382190966
82	0.632048337
83	0.6259357772
84	0.6217127842
85	0.6127492178
86	0.5991183295
87	0.5956366605
88	0.589459244
89	0.5859327019
90	0.5855801204
91	0.5783984665
92	0.5691166062
93	0.5630139729
94	0.5585055464
95	0.5559064172
96	0.5505394751
97	0.545479333
98	0.5387615987
99	0.5349062146
