Temperature - (Celsius),Year,Statistics,ISO3,Month
9.874310000000001,1901,Average,PSE,1
15.2588,1901,Average,PSE,2
16.6898,1901,Average,PSE,3
17.5946,1901,Average,PSE,4
18.2094,1901,Average,PSE,5
22.9234,1901,Average,PSE,6
25.0196,1901,Average,PSE,7
25.2509,1901,Average,PSE,8
23.5536,1901,Average,PSE,9
21.5247,1901,Average,PSE,10
16.8092,1901,Average,PSE,11
13.7299,1901,Average,PSE,12
10.2597,1902,Average,PSE,1
14.3479,1902,Average,PSE,2
12.6903,1902,Average,PSE,3
16.6833,1902,Average,PSE,4
20.4667,1902,Average,PSE,5
22.2614,1902,Average,PSE,6
25.081,1902,Average,PSE,7
25.1722,1902,Average,PSE,8
25.9211,1902,Average,PSE,9
22.4235,1902,Average,PSE,10
15.892000000000001,1902,Average,PSE,11
11.6639,1902,Average,PSE,12
9.51568,1903,Average,PSE,1
10.2313,1903,Average,PSE,2
11.9807,1903,Average,PSE,3
17.0495,1903,Average,PSE,4
20.5485,1903,Average,PSE,5
21.3639,1903,Average,PSE,6
23.084,1903,Average,PSE,7
24.4657,1903,Average,PSE,8
22.5711,1903,Average,PSE,9
20.1148,1903,Average,PSE,10
15.2475,1903,Average,PSE,11
12.9131,1903,Average,PSE,12
11.2863,1904,Average,PSE,1
12.5004,1904,Average,PSE,2
13.4947,1904,Average,PSE,3
16.0159,1904,Average,PSE,4
19.1043,1904,Average,PSE,5
22.0527,1904,Average,PSE,6
23.6117,1904,Average,PSE,7
25.1561,1904,Average,PSE,8
23.4775,1904,Average,PSE,9
22.8434,1904,Average,PSE,10
16.1498,1904,Average,PSE,11
10.7339,1904,Average,PSE,12
8.74848,1905,Average,PSE,1
8.944180000000001,1905,Average,PSE,2
11.8268,1905,Average,PSE,3
17.2296,1905,Average,PSE,4
20.6966,1905,Average,PSE,5
22.2728,1905,Average,PSE,6
25.3801,1905,Average,PSE,7
26.0196,1905,Average,PSE,8
25.1154,1905,Average,PSE,9
22.6821,1905,Average,PSE,10
18.4922,1905,Average,PSE,11
10.9692,1905,Average,PSE,12
10.3611,1906,Average,PSE,1
11.6083,1906,Average,PSE,2
13.4374,1906,Average,PSE,3
16.7405,1906,Average,PSE,4
18.8258,1906,Average,PSE,5
23.4819,1906,Average,PSE,6
24.8865,1906,Average,PSE,7
25.7491,1906,Average,PSE,8
23.6077,1906,Average,PSE,9
21.7584,1906,Average,PSE,10
17.0853,1906,Average,PSE,11
14.1813,1906,Average,PSE,12
10.168,1907,Average,PSE,1
11.2415,1907,Average,PSE,2
11.4916,1907,Average,PSE,3
16.2299,1907,Average,PSE,4
19.9915,1907,Average,PSE,5
22.2516,1907,Average,PSE,6
25.1119,1907,Average,PSE,7
25.3464,1907,Average,PSE,8
22.7708,1907,Average,PSE,9
21.116999999999997,1907,Average,PSE,10
15.01,1907,Average,PSE,11
12.5254,1907,Average,PSE,12
10.4149,1908,Average,PSE,1
11.0006,1908,Average,PSE,2
13.2612,1908,Average,PSE,3
16.6513,1908,Average,PSE,4
21.0377,1908,Average,PSE,5
23.0853,1908,Average,PSE,6
24.002,1908,Average,PSE,7
24.9476,1908,Average,PSE,8
23.3948,1908,Average,PSE,9
21.1089,1908,Average,PSE,10
15.3244,1908,Average,PSE,11
10.4732,1908,Average,PSE,12
10.6047,1909,Average,PSE,1
11.4498,1909,Average,PSE,2
15.5501,1909,Average,PSE,3
15.1023,1909,Average,PSE,4
23.5636,1909,Average,PSE,5
23.4738,1909,Average,PSE,6
26.0835,1909,Average,PSE,7
26.3474,1909,Average,PSE,8
24.2831,1909,Average,PSE,9
21.3809,1909,Average,PSE,10
17.7079,1909,Average,PSE,11
14.421,1909,Average,PSE,12
10.3491,1910,Average,PSE,1
12.4267,1910,Average,PSE,2
10.4009,1910,Average,PSE,3
17.6176,1910,Average,PSE,4
19.9216,1910,Average,PSE,5
22.3619,1910,Average,PSE,6
24.8885,1910,Average,PSE,7
25.9443,1910,Average,PSE,8
24.1116,1910,Average,PSE,9
20.1167,1910,Average,PSE,10
16.4186,1910,Average,PSE,11
11.068,1910,Average,PSE,12
9.23053,1911,Average,PSE,1
8.8604,1911,Average,PSE,2
11.3428,1911,Average,PSE,3
16.2592,1911,Average,PSE,4
19.9207,1911,Average,PSE,5
22.5849,1911,Average,PSE,6
24.8861,1911,Average,PSE,7
25.4139,1911,Average,PSE,8
23.291999999999998,1911,Average,PSE,9
22.0287,1911,Average,PSE,10
17.058,1911,Average,PSE,11
12.5371,1911,Average,PSE,12
9.843919999999999,1912,Average,PSE,1
12.6179,1912,Average,PSE,2
13.5195,1912,Average,PSE,3
17.1749,1912,Average,PSE,4
18.6963,1912,Average,PSE,5
22.9262,1912,Average,PSE,6
24.4655,1912,Average,PSE,7
25.6034,1912,Average,PSE,8
23.5529,1912,Average,PSE,9
21.8383,1912,Average,PSE,10
16.7831,1912,Average,PSE,11
11.6698,1912,Average,PSE,12
10.9491,1913,Average,PSE,1
11.1422,1913,Average,PSE,2
13.5515,1913,Average,PSE,3
15.9047,1913,Average,PSE,4
19.7807,1913,Average,PSE,5
22.4474,1913,Average,PSE,6
24.7267,1913,Average,PSE,7
25.5479,1913,Average,PSE,8
25.0959,1913,Average,PSE,9
22.628,1913,Average,PSE,10
16.3381,1913,Average,PSE,11
11.4872,1913,Average,PSE,12
11.1169,1914,Average,PSE,1
11.7651,1914,Average,PSE,2
14.7201,1914,Average,PSE,3
15.2946,1914,Average,PSE,4
20.9135,1914,Average,PSE,5
23.4531,1914,Average,PSE,6
24.9502,1914,Average,PSE,7
26.2778,1914,Average,PSE,8
25.1631,1914,Average,PSE,9
21.1035,1914,Average,PSE,10
16.6958,1914,Average,PSE,11
12.8801,1914,Average,PSE,12
12.3985,1915,Average,PSE,1
12.575999999999999,1915,Average,PSE,2
14.4636,1915,Average,PSE,3
16.9577,1915,Average,PSE,4
20.5037,1915,Average,PSE,5
24.4684,1915,Average,PSE,6
26.134,1915,Average,PSE,7
26.4244,1915,Average,PSE,8
24.9793,1915,Average,PSE,9
22.5049,1915,Average,PSE,10
16.9839,1915,Average,PSE,11
14.1193,1915,Average,PSE,12
10.4374,1916,Average,PSE,1
12.4678,1916,Average,PSE,2
14.9639,1916,Average,PSE,3
17.56,1916,Average,PSE,4
22.6685,1916,Average,PSE,5
25.9745,1916,Average,PSE,6
27.0791,1916,Average,PSE,7
25.5537,1916,Average,PSE,8
24.5091,1916,Average,PSE,9
20.7438,1916,Average,PSE,10
19.0565,1916,Average,PSE,11
14.2514,1916,Average,PSE,12
12.2329,1917,Average,PSE,1
12.4823,1917,Average,PSE,2
15.3068,1917,Average,PSE,3
18.363,1917,Average,PSE,4
19.8797,1917,Average,PSE,5
22.864,1917,Average,PSE,6
24.9463,1917,Average,PSE,7
25.9703,1917,Average,PSE,8
24.6439,1917,Average,PSE,9
20.9926,1917,Average,PSE,10
18.8721,1917,Average,PSE,11
12.7519,1917,Average,PSE,12
10.6294,1918,Average,PSE,1
11.7063,1918,Average,PSE,2
13.5947,1918,Average,PSE,3
16.9476,1918,Average,PSE,4
20.2067,1918,Average,PSE,5
22.7795,1918,Average,PSE,6
25.1448,1918,Average,PSE,7
25.6388,1918,Average,PSE,8
25.263,1918,Average,PSE,9
23.997,1918,Average,PSE,10
19.2499,1918,Average,PSE,11
12.2677,1918,Average,PSE,12
13.0214,1919,Average,PSE,1
14.0229,1919,Average,PSE,2
15.4715,1919,Average,PSE,3
16.4424,1919,Average,PSE,4
19.3274,1919,Average,PSE,5
22.2525,1919,Average,PSE,6
25.3011,1919,Average,PSE,7
25.4507,1919,Average,PSE,8
25.679000000000002,1919,Average,PSE,9
23.5269,1919,Average,PSE,10
19.2443,1919,Average,PSE,11
12.3488,1919,Average,PSE,12
11.4625,1920,Average,PSE,1
9.71151,1920,Average,PSE,2
14.0478,1920,Average,PSE,3
17.9534,1920,Average,PSE,4
21.6973,1920,Average,PSE,5
24.2106,1920,Average,PSE,6
25.9707,1920,Average,PSE,7
26.7111,1920,Average,PSE,8
25.0158,1920,Average,PSE,9
22.1358,1920,Average,PSE,10
15.8717,1920,Average,PSE,11
11.667,1920,Average,PSE,12
10.5476,1921,Average,PSE,1
10.6902,1921,Average,PSE,2
12.3288,1921,Average,PSE,3
16.5414,1921,Average,PSE,4
19.7822,1921,Average,PSE,5
22.368000000000002,1921,Average,PSE,6
25.6446,1921,Average,PSE,7
26.8441,1921,Average,PSE,8
23.7406,1921,Average,PSE,9
20.9379,1921,Average,PSE,10
16.9198,1921,Average,PSE,11
11.8449,1921,Average,PSE,12
11.0698,1922,Average,PSE,1
11.3413,1922,Average,PSE,2
14.4473,1922,Average,PSE,3
16.8577,1922,Average,PSE,4
20.8522,1922,Average,PSE,5
22.7726,1922,Average,PSE,6
26.5497,1922,Average,PSE,7
27.1536,1922,Average,PSE,8
25.2508,1922,Average,PSE,9
23.145,1922,Average,PSE,10
19.0946,1922,Average,PSE,11
12.1054,1922,Average,PSE,12
11.82,1923,Average,PSE,1
11.8326,1923,Average,PSE,2
14.4587,1923,Average,PSE,3
16.8167,1923,Average,PSE,4
21.168000000000003,1923,Average,PSE,5
25.4704,1923,Average,PSE,6
25.2727,1923,Average,PSE,7
25.151,1923,Average,PSE,8
25.6643,1923,Average,PSE,9
21.881999999999998,1923,Average,PSE,10
19.1,1923,Average,PSE,11
14.4066,1923,Average,PSE,12
11.190999999999999,1924,Average,PSE,1
12.4141,1924,Average,PSE,2
14.9008,1924,Average,PSE,3
18.4866,1924,Average,PSE,4
20.1284,1924,Average,PSE,5
24.631999999999998,1924,Average,PSE,6
26.4076,1924,Average,PSE,7
26.2413,1924,Average,PSE,8
25.2423,1924,Average,PSE,9
21.1665,1924,Average,PSE,10
17.0703,1924,Average,PSE,11
12.6542,1924,Average,PSE,12
8.747910000000001,1925,Average,PSE,1
11.4993,1925,Average,PSE,2
17.1109,1925,Average,PSE,3
16.2643,1925,Average,PSE,4
21.1482,1925,Average,PSE,5
23.0206,1925,Average,PSE,6
25.7413,1925,Average,PSE,7
26.3136,1925,Average,PSE,8
25.551,1925,Average,PSE,9
22.7251,1925,Average,PSE,10
18.6588,1925,Average,PSE,11
14.9728,1925,Average,PSE,12
11.5355,1926,Average,PSE,1
11.9613,1926,Average,PSE,2
13.3158,1926,Average,PSE,3
18.611,1926,Average,PSE,4
22.5275,1926,Average,PSE,5
25.008000000000003,1926,Average,PSE,6
25.035999999999998,1926,Average,PSE,7
