Temperature - (Celsius),Year,Statistics,ISO3,Month
23.3497,1901,Average,TZA,1
22.2836,1901,Average,TZA,2
23.1687,1901,Average,TZA,3
22.3194,1901,Average,TZA,4
21.3838,1901,Average,TZA,5
19.6637,1901,Average,TZA,6
19.227999999999998,1901,Average,TZA,7
20.5492,1901,Average,TZA,8
21.9924,1901,Average,TZA,9
23.4749,1901,Average,TZA,10
23.752,1901,Average,TZA,11
23.8532,1901,Average,TZA,12
23.0587,1902,Average,TZA,1
23.0232,1902,Average,TZA,2
23.337,1902,Average,TZA,3
22.414,1902,Average,TZA,4
22.5712,1902,Average,TZA,5
21.362,1902,Average,TZA,6
20.1769,1902,Average,TZA,7
21.6888,1902,Average,TZA,8
22.4858,1902,Average,TZA,9
23.497,1902,Average,TZA,10
23.3809,1902,Average,TZA,11
22.4489,1902,Average,TZA,12
23.0818,1903,Average,TZA,1
22.986,1903,Average,TZA,2
22.8072,1903,Average,TZA,3
22.2385,1903,Average,TZA,4
21.548000000000002,1903,Average,TZA,5
20.9592,1903,Average,TZA,6
19.9012,1903,Average,TZA,7
21.6027,1903,Average,TZA,8
21.9366,1903,Average,TZA,9
22.9292,1903,Average,TZA,10
23.9263,1903,Average,TZA,11
22.8731,1903,Average,TZA,12
22.2195,1904,Average,TZA,1
22.2965,1904,Average,TZA,2
22.2299,1904,Average,TZA,3
22.2521,1904,Average,TZA,4
21.8329,1904,Average,TZA,5
20.5108,1904,Average,TZA,6
19.7559,1904,Average,TZA,7
21.5008,1904,Average,TZA,8
22.1253,1904,Average,TZA,9
22.1618,1904,Average,TZA,10
22.4356,1904,Average,TZA,11
22.2947,1904,Average,TZA,12
23.1353,1905,Average,TZA,1
23.1329,1905,Average,TZA,2
22.5465,1905,Average,TZA,3
21.5006,1905,Average,TZA,4
21.404,1905,Average,TZA,5
20.6388,1905,Average,TZA,6
19.5312,1905,Average,TZA,7
20.6925,1905,Average,TZA,8
22.2181,1905,Average,TZA,9
23.7651,1905,Average,TZA,10
23.7236,1905,Average,TZA,11
22.6837,1905,Average,TZA,12
22.0884,1906,Average,TZA,1
22.9196,1906,Average,TZA,2
21.8478,1906,Average,TZA,3
21.4631,1906,Average,TZA,4
21.0837,1906,Average,TZA,5
19.6277,1906,Average,TZA,6
19.0567,1906,Average,TZA,7
19.8649,1906,Average,TZA,8
21.3971,1906,Average,TZA,9
23.0906,1906,Average,TZA,10
23.8293,1906,Average,TZA,11
23.0725,1906,Average,TZA,12
22.2479,1907,Average,TZA,1
22.4148,1907,Average,TZA,2
22.7316,1907,Average,TZA,3
21.6487,1907,Average,TZA,4
