Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Australia;AUS;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;19378.3707946897;19468.8178179858;19245.6202628193;20053.3637890905;21035.9183111766;21861.9575878088;21877.5774112563;22964.7001362559;23712.9087182672;24857.5440894284;26120.6494734321;26263.4896717793;26794.0220186405;27077.1153049505;27483.6869545714;27513.8685051962;27944.2336293778;28625.1942438694;28547.9825448817;29383.0735686274;29907.7863463789;30419.5325316349;30912.2222181387;29850.1943253301;30866.2518242285;32045.3160169279;32797.0946430137;33126.7927129807;34460.0365303649;35191.1144375945;35912.2092359937;35316.5370122119;35034.5326599405;36091.3889821234;37133.6484007101;38095.1295333831;39056.181021017;40153.6122516886;41555.9443532478;43168.2924609306;44334.3929341041;44585.1985160971;45806.6944747073;46595.9009195353;47926.7486611411;48813.8877630783;49443.225533311;51024.2411265745;51841.2730313421;51767.3778350805;52022.1255961876;52567.7772438131;53682.0472210506;54129.9390516228;54679.420178522;55079.8921159501;55728.6844626056;56095.1863203728;56864.3323797642;57071.1682951365;
Austria;AUT;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;13031.0317692215;13677.4644013835;13953.9501954416;14438.3568543653;15220.8199272257;15648.5269132562;16416.0056301174;16783.8899182416;17443.7052192203;18474.5402685695;19573.8671463957;20483.4535598112;21628.9664017571;22561.3707979535;23410.8905853717;23387.7066979738;24501.7496582501;25736.5515508775;25703.1377080491;27126.1785268963;27595.8351099017;27485.8325124757;28018.5412476123;28898.2192222307;28914.8569636945;29623.4345208073;30285.9335797815;30677.5443992108;31643.8093803121;32726.0598533404;33888.9960300827;34707.0716937124;35045.844759146;34941.1438607923;35643.0281541159;36537.9935189467;37346.00747133;38084.702501734;39405.4152181248;40727.4844977123;42001.210774577;42370.9302536426;42859.3299380524;43052.602598004;43956.5829032552;44637.8560109729;45951.7346365426;47510.2937856663;48053.4823567215;46123.4911031965;46858.0432733717;48065.3165411898;48172.2381151452;47901.366129632;47842.7489082353;47789.3850154389;48259.9375956173;49112.7328902854;50056.7378897051;50654.7301482217;
Azerbaijan;AZE;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3167.06208817709;3096.44979581974;2360.6146998036;1787.94376282146;1416.44236153429;1234.99655955667;1238.48136554173;1297.73380928734;1414.02228639608;1505.39050127936;1658.80529323061;1808.95740069391;1964.98632844986;2149.23250460856;2327.65185795531;2948.20604828813;3921.02755330664;4863.98288042341;5267.37198868499;5642.50471548519;5842.80578358576;5676.45041334095;5724.92083164488;5981.58065567077;6072.64612808803;6063.7178320377;5812.60867097356;5764.69251955865;5800.71518438101;5879.99265435911;
Burundi;BDI;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;213.39688081986;180.545876285742;193.191880665894;197.305647300731;205.396400591232;208.846076720306;213.235282410668;236.535680939732;229.915102622963;221.450916401238;263.643956763226;266.978062580072;247.104003747795;261.529170917932;256.687330407088;254.675947596146;269.801511616064;294.225338609102;284.460085621528;281.917260438568;277.447458631793;303.227653673613;292.277811386532;295.196478335089;287.749697844271;312.872113350282;314.056875533449;322.086263161854;329.025420980918;324.771190295123;327.986681933291;336.580270395656;332.765875459652;305.948149312137;289.196918329432;262.375065939413;238.474631535111;232.305477391278;240.844572896698;235.309285692169;229.206107263877;228.660388811251;232.466497747919;222.807321080131;226.288471649801;221.096374710531;225.622210413864;225.859085274657;229.148545082546;230.192598508771;234.235646874999;235.988766659787;238.816045825172;242.845994657449;245.326738733565;228.432544171606;219.961497757751;214.139246201959;210.804225834169;208.074726923036;
Belgium;BEL;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;13020.542348285;13623.426939266;14276.5387292232;14786.8326967949;15666.5219803109;16077.6811800065;16473.4272656358;17015.6626013495;17659.7129796915;18777.2697082147;19807.7183629788;20559.7161639364;21563.8707829007;22867.9434539696;23836.8073576355;23300.7581746307;24573.9442054793;24697.3001670834;25375.4855296588;25946.212577976;27069.426305812;26994.5377144316;27162.5326097118;27249.4017371105;27921.8955473232;28374.6543688608;28881.5590522093;29522.5788837622;30818.8548193574;31772.3898631082;32671.6336846386;33147.1274043204;33518.2312907732;33066.4057035008;34028.4128316387;34767.0166148772;35157.6923714667;36403.2507738659;37038.2531739645;38262.6257269681;39588.5980069678;39886.4943648175;40385.8689506619;40634.5854893595;41903.9764229122;42641.6774559424;43442.5678977027;44710.3850177578;44556.8205778637;43306.5991304703;44141.8781415734;44309.6253696963;44361.2084743341;44355.3694469554;44855.9578724323;45503.3519914323;45942.8300007682;46637.5108912501;47116.3514784291;47540.9334745946;
Benin;BEN;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;711.936341366233;724.102582686749;688.946213739833;710.194103236044;744.801684024506;770.409675101826;783.141774906787;776.206341683346;789.779901263425;795.669169933237;795.155803887301;766.351604762684;797.647183646765;808.583731015686;816.254600049531;757.810267170896;745.780949470855;763.276398774364;753.008231239408;781.252899139596;812.098279953949;868.869317415802;863.957546623369;803.435905886598;842.767028289599;880.45663521409;873.837440407871;835.913992648877;838.9278558684;790.100555114247;833.612239782791;839.98687843652;835.261114323316;853.596684179984;841.512455878896;863.470642470708;872.917139964444;895.44402689768;903.774011636785;924.35720670547;949.736259160293;970.590243312842;985.213354393403;988.627481599083;1001.85440007121;989.372278966197;999.020026621627;1029.03226327339;1049.36786915158;1043.96189434954;1036.53395164469;1037.74703995475;1057.66774031197;1102.52743002686;1140.44775377804;1128.99638029977;1134.92453620908;1166.76057483953;1211.31656294328;1259.80807064558;
Burkina Faso;BFA;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;268.721733990659;275.859031762224;288.885449256915;281.393422998453;283.805493161014;290.165639594816;287.202785891502;307.474589645839;311.607983103247;312.507890495289;307.50980042716;306.473573474669;308.078441353872;303.967466727524;323.185081181027;326.682331243572;347.811479947871;342.285690235302;350.826965215087;356.006178503112;350.89153178743;357.322252696033;382.023419158916;373.807101690311;357.879021643536;378.477613917094;398.13935796677;386.981668655186;398.815461162629;396.777876137771;384.036487671895;407.804493837348;397.892711349737;400.66040497062;395.007731966372;406.277249775007;438.728026702115;453.636535940831;473.332119291795;494.231230302968;489.455363480089;507.117970064839;514.189865129026;538.473818316437;546.357720253107;576.371744979895;594.378678960047;600.456114437171;616.353254308186;615.690923529602;647.835846453449;670.264548166389;692.445037920314;711.036129168741;720.152335194392;726.652011937077;747.828475277628;771.251918326884;800.56336556216;822.378129073141;
Bangladesh;BGD;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;372.031695722991;383.784358473246;393.633450578951;380.95602871826;410.571447191891;404.788059380935;402.302927666992;382.207664244051;405.533607666052;398.949916726982;411.184362801919;380.948608902683;322.33440569941;328.071885895516;353.762503526347;332.888062537241;343.948157012526;344.435566228696;359.090605054417;366.241111288189;359.456257585739;375.427432118736;373.551348204956;378.091928876351;386.061443177345;388.644273789874;394.335068911307;398.588126655912;397.761911676302;398.852110318811;411.164611241749;415.714740930362;428.661017617889;439.23000019415;446.654812655474;459.613367750575;470.274688637274;481.122454006953;495.626754059541;508.385222705121;524.945869703516;541.291660881083;551.903047733547;568.13922556822;588.327258879369;617.542666369303;649.929885115528;687.323085586786;720.357003907352;748.296060456803;781.153593557047;822.188338841729;865.749891053711;907.257418044388;951.314821042494;1002.38873193637;1062.04015786301;1127.27176833347;1203.21626488899;1287.82142528431;
Bulgaria;BGR;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;3651.29795663335;3817.47379288113;3895.05609000972;4018.62755778038;4145.4075160118;4256.70977583897;4436.99170498223;4698.71265206982;5207.11762963473;5095.07656360677;4714.82041950656;4359.6026039206;4086.20041975711;4057.95605240333;4145.78477853526;4283.39784294987;4526.8040102978;3908.04288630054;4102.80049463574;3784.20362700683;3984.79809986616;4220.0831340973;4569.42578850868;4843.04625605349;5194.08571426205;5607.71304979399;6034.82019563462;6477.9851161821;6920.61843796227;6726.88692660985;6809.89898414354;7014.83562474702;7081.02615062678;7143.4624420082;7320.28841579751;7661.06051096386;8009.04218118063;8350.66224691942;8670.5956933801;9026.2480207531;
Bahrain;BHR;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;21185.0047497046;19295.6051761751;17290.8359587974;17906.0348714761;18304.6815302848;16926.4729634828;16571.520269408;17663.562665778;18240.7418968615;17702.5042889354;17934.7616005435;19407.6540816872;20178.5246085811;22218.0606042329;21623.234768984;21910.3402805166;22220.782690136;22281.7807014059;22634.9856468785;22761.1535577575;22955.2372613294;22416.2309058685;21981.9195272313;22058.8721481813;22144.6068766373;22066.209072122;21795.641469988;21837.5068879636;21562.6624712122;20796.2019205807;20722.1372891347;20516.5883157314;20924.7104304295;21805.1173792575;22395.3060349444;22435.7339408968;22336.7799258335;22128.4326997504;21478.1144253022;20913.0679108355;
