year;anomaly;total_uncertainty;uncorrelated_uncertainty;correlated_uncertainty;bias_uncertainty;coverage_uncertainty;lower_bound_95pct_bias_uncertainty_range;upper_bound_95pct_bias_uncertainty_range
1850;-0.30950;0.12747;0.00912;0.09255;0.04338;0.07562;-0.40579;-0.23192
1851;-0.19337;0.12897;0.00958;0.09721;0.04269;0.07260;-0.28779;-0.11750
1852;-0.18339;0.12484;0.01073;0.09169;0.04133;0.07316;-0.27454;-0.10496
1853;-0.21098;0.11080;0.00851;0.07829;0.03854;0.06774;-0.29375;-0.14112
1854;-0.26843;0.10534;0.00724;0.07324;0.03695;0.06568;-0.34812;-0.20058
1855;-0.24173;0.10697;0.00622;0.06927;0.03646;0.07264;-0.31821;-0.17362
1856;-0.30534;0.10340;0.00565;0.06787;0.03589;0.06903;-0.38033;-0.23833
1857;-0.42742;0.10523;0.00563;0.06654;0.03338;0.07416;-0.49758;-0.36567
1858;-0.40247;0.10959;0.00610;0.07303;0.03309;0.07446;-0.46987;-0.33946
1859;-0.27896;0.10640;0.00646;0.07375;0.03215;0.06933;-0.34387;-0.21717
1860;-0.23687;0.11129;0.00700;0.07400;0.03037;0.07706;-0.29750;-0.17646
1861;-0.36428;0.12315;0.00821;0.07508;0.03033;0.09242;-0.42387;-0.30183
1862;-0.39720;0.12440;0.00808;0.07605;0.02817;0.09398;-0.45283;-0.33867
1863;-0.32899;0.12581;0.00798;0.06582;0.02899;0.10292;-0.38537;-0.26604
1864;-0.36861;0.11595;0.00781;0.06036;0.02761;0.09475;-0.42054;-0.30746
1865;-0.21322;0.12062;0.00852;0.05684;0.02675;0.10261;-0.26292;-0.15283
1866;-0.20775;0.12145;0.00857;0.06177;0.02695;0.10067;-0.25667;-0.14592
1867;-0.20575;0.12024;0.00870;0.05738;0.02566;0.10214;-0.25158;-0.14521
1868;-0.21610;0.12602;0.00825;0.08285;0.02459;0.09134;-0.25933;-0.15858
1869;-0.28390;0.11372;0.00817;0.06707;0.02398;0.08827;-0.32662;-0.22646
1870;-0.22569;0.10313;0.00810;0.05771;0.02339;0.08180;-0.26742;-0.16950
1871;-0.23173;0.10674;0.00842;0.06474;0.02180;0.08158;-0.27100;-0.17908
1872;-0.24454;0.10315;0.00789;0.06049;0.02240;0.08011;-0.28362;-0.19062
1873;-0.29478;0.10166;0.00777;0.06276;0.02120;0.07673;-0.33429;-0.24508
1874;-0.39171;0.10358;0.00764;0.06085;0.02143;0.08068;-0.43258;-0.34175
1875;-0.24149;0.10292;0.00761;0.06556;0.02221;0.07578;-0.28192;-0.19083
1876;-0.34601;0.10529;0.00730;0.06659;0.02227;0.07811;-0.38946;-0.29529
1877;-0.02539;0.10666;0.00722;0.06261;0.02200;0.08318;-0.06983;0.02300
1878;-0.00461;0.10464;0.00715;0.06508;0.02231;0.07852;-0.04771;0.04513
1879;-0.19775;0.09808;0.00621;0.06274;0.02213;0.07179;-0.24008;-0.14850
1880;-0.20340;0.09607;0.00600;0.05698;0.02233;0.07381;-0.24996;-0.15454
1881;-0.15268;0.09818;0.00569;0.06032;0.02342;0.07362;-0.20054;-0.10175
1882;-0.21559;0.09523;0.00576;0.05546;0.02398;0.07338;-0.26292;-0.16433
1883;-0.24938;0.08989;0.00495;0.05346;0.02442;0.06783;-0.30121;-0.19808
1884;-0.35493;0.08689;0.00444;0.05290;0.02445;0.06430;-0.40617;-0.30567
