year;anomaly;total_uncertainty;uncorrelated_uncertainty;correlated_uncertainty;bias_uncertainty;coverage_uncertainty;lower_bound_95pct_bias_uncertainty_range;upper_bound_95pct_bias_uncertainty_range
1885;-0.34008;0.08730;0.00422;0.05426;0.02566;0.06325;-0.39271;-0.28875
1886;-0.35377;0.08474;0.00424;0.05120;0.02701;0.06174;-0.41025;-0.30187
1887;-0.42533;0.08665;0.00459;0.04975;0.02740;0.06528;-0.48237;-0.37421
1888;-0.25392;0.08643;0.00473;0.04874;0.02738;0.06576;-0.31179;-0.20350
1889;-0.16842;0.09000;0.00529;0.04787;0.02832;0.07055;-0.22542;-0.11600
1890;-0.43900;0.09676;0.00539;0.04966;0.02927;0.07752;-0.49408;-0.38408
1891;-0.28028;0.09995;0.00554;0.05228;0.03037;0.07940;-0.34050;-0.22650
1892;-0.42191;0.10049;0.00586;0.05481;0.03170;0.07781;-0.48396;-0.36567
1893;-0.41688;0.10164;0.00586;0.05199;0.03258;0.08083;-0.48071;-0.36012
1894;-0.44214;0.10016;0.00570;0.05045;0.03332;0.07965;-0.50908;-0.38504
1895;-0.35342;0.09881;0.00570;0.04624;0.03443;0.08004;-0.41825;-0.29479
1896;-0.15929;0.09454;0.00564;0.04558;0.03584;0.07445;-0.22625;-0.09854
1897;-0.20407;0.09649;0.00574;0.04893;0.03712;0.07419;-0.27133;-0.13992
1898;-0.43947;0.09721;0.00567;0.04991;0.03831;0.07388;-0.50950;-0.37658
1899;-0.31662;0.09674;0.00559;0.05168;0.03962;0.07133;-0.38912;-0.24908
1900;-0.23602;0.09868;0.00588;0.05154;0.04035;0.07361;-0.31012;-0.16808
1901;-0.36399;0.09750;0.00559;0.04968;0.04195;0.07244;-0.44175;-0.29487
1902;-0.45370;0.09668;0.00487;0.04591;0.04290;0.07331;-0.53263;-0.38737
1903;-0.57443;0.09699;0.00473;0.04480;0.04457;0.07342;-0.65433;-0.50063
1904;-0.60236;0.09845;0.00447;0.04612;0.04570;0.07387;-0.68450;-0.52862
1905;-0.43521;0.09739;0.00470;0.03992;0.04732;0.07504;-0.51979;-0.35754
1906;-0.38451;0.09789;0.00466;0.03921;0.04965;0.07456;-0.47021;-0.30233
1907;-0.46854;0.09396;0.00474;0.03980;0.04375;0.07285;-0.54237;-0.39463
1908;-0.56870;0.09287;0.00440;0.04159;0.03666;0.07438;-0.62879;-0.50254
1909;-0.58671;0.08877;0.00405;0.03933;0.03208;0.07272;-0.64350;-0.52133
1910;-0.58422;0.09005;0.00384;0.03824;0.02891;0.07613;-0.64017;-0.52529
1911;-0.58624;0.08816;0.00367;0.03536;0.02859;0.07543;-0.64667;-0.53637
1912;-0.45112;0.08662;0.00374;0.03753;0.02969;0.07211;-0.51242;-0.39500
1913;-0.48329;0.07900;0.00413;0.03395;0.03095;0.06414;-0.54642;-0.42600
1914;-0.33749;0.08436;0.00469;0.04114;0.03183;0.06625;-0.40154;-0.27679
1915;-0.22696;0.09095;0.00531;0.04789;0.03299;0.06973;-0.29179;-0.16488
1916;-0.41508;0.09134;0.00487;0.04594;0.03460;0.07080;-0.48333;-0.34712
1917;-0.45933;0.09651;0.00500;0.05269;0.03615;0.07215;-0.52821;-0.38646
1918;-0.41373;0.10028;0.00548;0.05808;0.03794;0.07221;-0.48604;-0.33758
1919;-0.36713;0.09802;0.00524;0.05182;0.03873;0.07345;-0.43550;-0.28979
1920;-0.28462;0.09287;0.00485;0.04813;0.04038;0.06823;-0.35558;-0.19775
1921;-0.25981;0.09174;0.00439;0.04580;0.04091;0.06800;-0.33396;-0.17671
1922;-0.34122;0.08872;0.00419;0.04498;0.03990;0.06510;-0.41475;-0.25508
1923;-0.31834;0.08546;0.00394;0.04034;0.04080;0.06321;-0.39408;-0.22833
1924;-0.31222;0.08621;0.00400;0.04069;0.04198;0.06324;-0.38896;-0.22708
1925;-0.26628;0.08562;0.00407;0.03959;0.04079;0.06391;-0.34346;-0.17983
1926;-0.14287;0.08542;0.00397;0.04039;0.04189;0.06241;-0.21925;-0.04975
1927;-0.21650;0.08342;0.00374;0.03795;0.04212;0.06107;-0.29721;-0.13367
1928;-0.24909;0.08465;0.00383;0.04001;0.04278;0.06098;-0.32487;-0.16079
1929;-0.32000;0.08267;0.00385;0.03848;0.04304;0.05904;-0.39737;-0.23492
1930;-0.16838;0.08376;0.00380;0.03799;0.04461;0.05973;-0.24646;-0.07679
1931;-0.11150;0.08354;0.00389;0.03805;0.04426;0.05965;-0.19542;-0.01337
1932;-0.19265;0.08275;0.00392;0.03853;0.04372;0.05862;-0.27579;-0.10167
1933;-0.26562;0.08458;0.00385;0.03934;0.04289;0.06125;-0.34342;-0.17221
1934;-0.20761;0.08346;0.00377;0.03736;0.04349;0.06054;-0.28867;-0.11508
1935;-0.21589;0.08128;0.00377;0.03451;0.04330;0.05939;-0.29571;-0.12462
1936;-0.17797;0.07903;0.00361;0.03169;0.04171;0.05907;-0.25800;-0.08558
1937;-0.03873;0.08035;0.00358;0.03135;0.04274;0.06027;-0.12075;0.05446
1938;-0.11749;0.08217;0.00377;0.03201;0.04203;0.06282;-0.19800;-0.02537
1939;-0.10255;0.08842;0.00420;0.03985;0.04486;0.06481;-0.19167;-0.00783
1940;-0.01199;0.09366;0.00481;0.04103;0.05384;0.06455;-0.10675;0.09208
1941;0.00327;0.15913;0.00432;0.04377;0.13880;0.06421;-0.23883;0.22675
1942;0.04635;0.16675;0.00533;0.06428;0.13676;0.07031;-0.19425;0.26638
1943;0.04031;0.16750;0.00560;0.06722;0.13657;0.06968;-0.20092;0.25983
1944;0.19544;0.16135;0.00480;0.05894;0.13664;0.06218;-0.04842;0.41542
1945;0.19232;0.16473;0.00515;0.06504;0.13552;0.06718;-0.05142;0.40783
1946;-0.07790;0.12563;0.00526;0.06055;0.08426;0.07064;-0.24979;0.07413
1947;-0.14807;0.11985;0.00476;0.05543;0.08171;0.06776;-0.31854;0.00238
1948;-0.13325;0.11770;0.00455;0.05366;0.07659;0.07133;-0.29388;0.00404
1949;-0.10949;0.09555;0.00394;0.03994;0.06245;0.06016;-0.23425;0.00788
1950;-0.12455;0.08683;0.00389;0.03903;0.05022;0.05898;-0.21500;-0.02779
1951;-0.02012;0.08097;0.00378;0.03782;0.04161;0.05814;-0.09483;0.06879
1952;0.06937;0.08093;0.00358;0.03660;0.04189;0.05868;-0.01063;0.16050
1953;0.07613;0.08270;0.00358;0.03644;0.04442;0.05938;-0.00492;0.17688
1954;-0.11056;0.08248;0.00356;0.03595;0.04295;0.06044;-0.18996;-0.02042
1955;-0.18698;0.08085;0.00346;0.03471;0.04222;0.05948;-0.26979;-0.10083
1956;-0.20024;0.07777;0.00333;0.03486;0.04060;0.05633;-0.28117;-0.12117
1957;0.00168;0.07462;0.00388;0.03175;0.03812;0.05560;-0.07017;0.07675
1958;0.02431;0.07316;0.00324;0.02937;0.03779;0.05523;-0.03937;0.10421
1959;-0.02973;0.07174;0.00313;0.02714;0.03750;0.05472;-0.09571;0.05833
1960;-0.07483;0.06864;0.00305;0.02684;0.03350;0.05347;-0.13625;0.00429
1961;-0.02732;0.06470;0.00286;0.02475;0.02744;0.05303;-0.07729;0.02942
1962;-0.08224;0.06435;0.00284;0.02398;0.02306;0.05500;-0.12262;-0.03321
1963;-0.03526;0.06461;0.00288;0.02311;0.02531;0.05470;-0.07583;0.02250
1964;-0.24036;0.06288;0.00281;0.02131;0.02469;0.05368;-0.28700;-0.18796
1965;-0.20315;0.06391;0.00279;0.02118;0.02573;0.05445;-0.24829;-0.14779
1966;-0.09263;0.06353;0.00334;0.02167;0.02445;0.05439;-0.13312;-0.04521
1967;-0.15086;0.06146;0.00356;0.01976;0.02000;0.05453;-0.18979;-0.10496
1968;-0.15229;0.06107;0.00320;0.02195;0.01654;0.05444;-0.18800;-0.11879
1969;0.01328;0.05947;0.00324;0.02194;0.01491;0.05313;-0.01654;0.04150
1970;-0.09424;0.05652;0.00335;0.01875;0.01151;0.05195;-0.11679;-0.07108
1971;-0.25558;0.05637;0.00271;0.01779;0.01061;0.05236;-0.27512;-0.23408
1972;-0.02319;0.05551;0.00376;0.01763;0.01056;0.05142;-0.04187;-0.00321
1973;0.01075;0.05503;0.00395;0.01838;0.01097;0.05054;-0.00971;0.03021
1974;-0.14716;0.05695;0.00308;0.01986;0.01161;0.05201;-0.16858;-0.12579
1975;-0.15448;0.05719;0.00352;0.01908;0.01230;0.05237;-0.18037;-0.13329
1976;-0.13235;0.05873;0.00332;0.01966;0.01251;0.05381;-0.15779;-0.11079
1977;0.07836;0.05711;0.00332;0.02036;0.01228;0.05182;0.05283;0.09875
1978;0.02786;0.05638;0.00284;0.02012;0.01213;0.05117;0.00054;0.04933
1979;0.14543;0.05114;0.00281;0.01690;0.01155;0.04678;0.12142;0.16542
1980;0.14203;0.05417;0.00260;0.01992;0.01103;0.04908;0.11863;0.15975
1981;0.11512;0.05461;0.00316;0.02099;0.01065;0.04917;0.09129;0.13321
1982;0.09825;0.05755;0.00330;0.02705;0.01057;0.04958;0.07487;0.11633
1983;0.19460;0.05668;0.00316;0.02673;0.01027;0.04881;0.17133;0.21208
1984;0.06038;0.05674;0.00294;0.02652;0.01039;0.04899;0.03696;0.07833
1985;0.04476;0.05570;0.00291;0.02661;0.01027;0.04776;0.01888;0.06317
1986;0.07390;0.05519;0.00312;0.02609;0.01039;0.04741;0.04829;0.09246
1987;0.23264;0.05500;0.00336;0.02554;0.01064;0.04741;0.20608;0.25087
1988;0.20845;0.05554;0.00315;0.02593;0.01071;0.04783;0.18125;0.22533
1989;0.16803;0.05560;0.00319;0.02676;0.01052;0.04749;0.14046;0.18571
1990;0.29425;0.05706;0.00331;0.02671;0.01045;0.04922;0.26604;0.31217
1991;0.27296;0.05715;0.00349;0.02659;0.01044;0.04937;0.24554;0.29013
1992;0.17579;0.05704;0.00322;0.02641;0.01053;0.04934;0.14892;0.19296
1993;0.20568;0.05855;0.00312;0.02737;0.01064;0.05055;0.17942;0.22337
1994;0.24524;0.05769;0.00309;0.02698;0.01073;0.04976;0.21946;0.26338
1995;0.30009;0.05803;0.00296;0.02568;0.01078;0.05082;0.27429;0.31904
1996;0.23714;0.05650;0.00355;0.02345;0.01088;0.05012;0.21217;0.25621
1997;0.42091;0.05765;0.00261;0.02531;0.01078;0.05059;0.39558;0.43854
1998;0.51006;0.05867;0.00272;0.02703;0.01074;0.05088;0.48458;0.52758
1999;0.27619;0.05737;0.00310;0.02659;0.01059;0.04962;0.25029;0.29279
2000;0.28053;0.05783;0.00272;0.02600;0.01058;0.05048;0.25350;0.29704
2001;0.39199;0.05820;0.00269;0.02577;0.01054;0.05103;0.36458;0.40858
2002;0.43434;0.05687;0.00302;0.02486;0.01055;0.04996;0.40663;0.45042
2003;0.45946;0.05760;0.00259;0.02407;0.01048;0.05120;0.43288;0.47663
2004;0.43760;0.05607;0.00256;0.02323;0.01046;0.04988;0.41250;0.45446
2005;0.44789;0.05520;0.00239;0.02177;0.01056;0.04956;0.42325;0.46471
2006;0.42388;0.05352;0.00231;0.01992;0.01055;0.04848;0.39950;0.44133
2007;0.35835;0.05289;0.00229;0.01934;0.01065;0.04800;0.33362;0.37629
2008;0.33213;0.05284;0.00222;0.01903;0.01079;0.04805;0.30821;0.35083
2009;0.48010;0.05386;0.00225;0.01916;0.01100;0.04906;0.45562;0.50029
2010;0.48557;0.05317;0.00216;0.01825;0.01092;0.04869;0.46054;0.50604
2011;0.37851;0.05352;0.00255;0.01902;0.01097;0.04875;0.35342;0.39971
2012;0.44911;0.05643;0.00252;0.02168;0.01104;0.05086;0.42379;0.47096
2013;0.47344;0.05790;0.00269;0.02313;0.01115;0.05182;0.44821;0.49625
2014;0.57639;0.05702;0.00249;0.02275;0.01106;0.05104;0.55171;0.59946
2015;0.70045;0.05403;0.00231;0.01983;0.01106;0.04898;0.67617;0.72338
2016;0.71945;0.05223;0.00233;0.01906;0.01109;0.04729;0.69592;0.74208
2017;0.64483;0.05285;0.00229;0.01878;0.01119;0.04806;0.62200;0.66704
2018;0.61641;0.05278;0.00237;0.01906;0.01131;0.04785;0.59350;0.63888
