Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO
1950,Western Europe,Storms,,25000000,0,1
1960,Australia and New Zealand,Droughts,,600000,0,1
1960,Australia and New Zealand,Storms,,0,1000,1
1960,Caribbean,Droughts,,6500,550217,3
1960,Caribbean,Floods,,0,526,2
1960,Caribbean,Storms,,1011790000,332200,32
1960,Central America,Droughts,,0,100000,1
1960,Central America,Floods,,15500,379,7
1960,Central America,Storms,,303900000,374300,11
1960,Eastern Africa,Droughts,,1200,4238483,7
1960,Eastern Africa,Floods,,182670,241,9
1960,Eastern Africa,Storms,,13100000,125000,4
1960,Eastern Asia,Droughts,,27118,2800000,4
1960,Eastern Asia,Floods,,203800,2697,18
1960,Eastern Asia,Storms,,117222000,274923,41
1960,Melanesia,Floods,,1100,1,1
1960,Melanesia,Storms,,3000000,11000,6
1960,Micronesia,Storms,,250000000,0,1
1960,Middle Africa,Droughts,,83000,900000,2
1960,Northern Africa,Droughts,,0,0,1
1960,Northern Africa,Floods,,131000,1102,13
1960,Northern America,Droughts,,0,0,1
1960,Northern America,Floods,,1220000,224,3
1960,Northern America,Storms,,4733000000,458,33
1960,Northern Europe,Storms,,2500000,700,1
1960,Polynesia,Storms,,1379000,107000,11
1960,South America,Droughts,,65000,1018004,5
1960,South America,Floods,,172978,2840,30
1960,South America,Storms,,50000,1020,5
1960,South-Eastern Asia,Droughts,,0,204000,1
1960,South-Eastern Asia,Floods,,95011,1206,16
1960,South-Eastern Asia,Storms,,192800000,3596774,25
1960,Southern Africa,Droughts,,2000,329000,4
1960,Southern Africa,Floods,,30000,0,1
1960,Southern Asia,Droughts,,100200,101339000,7
1960,Southern Asia,Floods,,321600,11604,35
1960,Southern Asia,Storms,,206009000,19100985,30
1960,Southern Europe,Floods,,2492600,1107,7
1960,Southern Europe,Storms,,0,0,2
1960,Western Africa,Droughts,,109300,3901000,9
1960,Western Africa,Floods,,74750,0,2
1960,Western Africa,Storms,,200000,0,1
1960,Western Asia,Droughts,,12000,2500000,2
1960,Western Asia,Floods,,15400,459,9
1960,Western Asia,Storms,,2300000,15000,2
1960,Western Europe,Storms,,651000000,0,6
1970,Australia and New Zealand,Droughts,,0,0,4
1970,Australia and New Zealand,Floods,,190052,60,13
1970,Australia and New Zealand,Storms,,2624815000,45100,20
1970,Caribbean,Droughts,,0,957000,2
1970,Caribbean,Floods,,6159,224,9
1970,Caribbean,Storms,,382350000,1353210,15
1970,Central America,Droughts,,7000,300000,3
1970,Central America,Floods,,184850,348,18
1970,Central America,Storms,,651380000,1203800,12
1970,Eastern Africa,Droughts,,77500,11640000,8
1970,Eastern Africa,Floods,,134200,993,17
1970,Eastern Africa,Storms,,794820000,4099199,13
1970,Eastern Asia,Droughts,,0,6000000,6
1970,Eastern Asia,Floods,,159834,21797,24
1970,Eastern Asia,Storms,,2029100000,405789,35
1970,Eastern Europe,Floods,,635000,575,4
1970,Melanesia,Storms,,23500000,175750,17
1970,Micronesia,Storms,,120000000,700,2
1970,Middle Africa,Droughts,,1500,900000,2
1970,Middle Africa,Floods,,0,0,1
1970,Middle Africa,Storms,,0,0,1
1970,Northern Africa,Droughts,,100,168400,2
1970,Northern Africa,Floods,,114000,279,13
1970,Northern Africa,Storms,,0,15000,1
1970,Northern America,Droughts,,3000000,0,1
1970,Northern America,Floods,,894500,599,10
1970,Northern America,Storms,,7262500000,2446,29
1970,Northern Europe,Floods,,171000,6,2
1970,Northern Europe,Storms,,0,0,4
1970,Polynesia,Storms,,1600000,11400,3
1970,South America,Droughts,,2300100,15000000,5
1970,South America,Floods,,647070,2167,41
1970,South America,Storms,,9300000,190000,7
1970,South-Eastern Asia,Droughts,,71200,7020885,4
1970,South-Eastern Asia,Floods,,734142,2191,39
1970,South-Eastern Asia,Storms,,771535000,11196947,59
1970,Southern Africa,Droughts,,2000,87600,1
1970,Southern Africa,Floods,,50,56,4
1970,Southern Asia,Droughts,,310000,214652000,9
1970,Southern Asia,Floods,,3434672,40622,36
1970,Southern Asia,Storms,,1244692000,25408457,50
1970,Southern Europe,Floods,,967400,669,12
1970,Southern Europe,Storms,,539200000,5200,8
1970,Western Africa,Droughts,,326300,6981000,14
1970,Western Africa,Floods,,3200,0,4
1970,Western Africa,Storms,,3600000,10000,2
1970,Western Asia,Droughts,,0,0,3
1970,Western Asia,Floods,,51700,145,5
1970,Western Asia,Storms,,0,5000,3
1970,Western Europe,Droughts,,0,0,1
1970,Western Europe,Floods,,330000,31,5
1970,Western Europe,Storms,,1742000000,0,10
1980,Australia and New Zealand,Droughts,,6000000,80000,1
1980,Australia and New Zealand,Floods,,380348,67,24
1980,Australia and New Zealand,Storms,,603142000,0,23
1980,Caribbean,Droughts,,0,178000,5
1980,Caribbean,Floods,,172940,841,30
1980,Caribbean,Storms,,2516446000,2799871,41
1980,Central America,Droughts,,0,154000,4
1980,Central America,Floods,,590950,1472,24
1980,Central America,Storms,,1425400000,908732,14
1980,Eastern Africa,Droughts,,1000,33885767,25
1980,Eastern Africa,Floods,,1600,296,23
1980,Eastern Africa,Storms,,1222777000,843841,24
1980,Eastern Asia,Droughts,,942887,49000000,5
1980,Eastern Asia,Floods,,9635168,14831,50
1980,Eastern Asia,Storms,,6338973000,44325258,83
1980,Eastern Europe,Droughts,,500000,0,3
1980,Eastern Europe,Floods,,554000,0,5
1980,Eastern Europe,Storms,,17000000,11500,9
1980,Melanesia,Droughts,,30000,71000,2
1980,Melanesia,Floods,,27300,75,3
1980,Melanesia,Storms,,393307000,663451,22
1980,Micronesia,Storms,,6145000,0,2
1980,Middle Africa,Droughts,,0,4373000,8
1980,Middle Africa,Floods,,0,45,5
1980,Middle Africa,Storms,,282000,2100,2
1980,Northern Africa,Droughts,,0,11850000,7
1980,Northern Africa,Floods,,90000,396,9
1980,Northern Africa,Storms,,0,10107,2
1980,Northern America,Droughts,,1810000,30000,3
1980,Northern America,Floods,,1149400,92,23
1980,Northern America,Storms,,24833700000,1055600,97
1980,Northern Europe,Floods,,5800,11,3
1980,Northern Europe,Storms,,1896500000,0,12
1980,Polynesia,Storms,,136900000,114200,13
1980,Russian Federation,Floods,,1196000,127,11
1980,South America,Droughts,,1616600,23833049,10
1980,South America,Floods,,8495900,3674,73
1980,South America,Storms,,62500000,413054,14
1980,South-Eastern Asia,Droughts,,0,4428260,11
1980,South-Eastern Asia,Floods,,773672,3173,61
1980,South-Eastern Asia,Storms,,2091484000,46659722,82
1980,Southern Africa,Droughts,,0,3707300,9
1980,Southern Africa,Floods,,766305,661,6
1980,Southern Africa,Storms,,196152000,1132000,5
1980,Southern Asia,Droughts,,0,430006000,9
1980,Southern Asia,Floods,,9534224,23373,91
1980,Southern Asia,Storms,,1727163000,31799560,64
1980,Southern Europe,Droughts,,3055000,3200000,4
1980,Southern Europe,Floods,,6688000,589,12
1980,Southern Europe,Storms,,2562700000,60000,10
1980,Western Africa,Droughts,,71754,28750000,18
1980,Western Africa,Floods,,24406,252,19
1980,Western Africa,Storms,,3000000,7600,4
1980,Western Asia,Floods,,1515200,684,12
1980,Western Asia,Storms,,0,0,3
1980,Western Europe,Droughts,,1600000,0,2
1980,Western Europe,Floods,,1109500,75,18
1980,Western Europe,Storms,,3257500000,140,32
1990,Australia and New Zealand,Droughts,,2073000,7000000,3
1990,Australia and New Zealand,Floods,,1073600,38,19
1990,Australia and New Zealand,Storms,,4077893000,3937650,30
1990,Caribbean,Droughts,,182000,1820000,5
1990,Caribbean,Floods,,383660,202,24
1990,Caribbean,Storms,,12484985000,3473395,67
