,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
45,Caribbean,2050,4.5,98,26,Storms,53802,188062000
46,Caribbean,2050,6.0,97,26,Storms,53253,186143000
47,Caribbean,2050,8.5,113,27,Storms,62037,216847000
48,Caribbean,2060,2.6,90,26,Storms,49410,172710000
49,Caribbean,2060,4.5,95,26,Storms,52155,182305000
50,Caribbean,2060,6.0,97,26,Storms,53253,186143000
51,Caribbean,2060,8.5,107,27,Storms,58743,205333000
52,Caribbean,2070,2.6,91,26,Storms,49959,174629000
53,Caribbean,2070,4.5,96,26,Storms,52704,184224000
54,Caribbean,2070,6.0,100,27,Storms,54900,191900000
55,Caribbean,2070,8.5,92,28,Storms,50508,176548000
56,Caribbean,2080,2.6,93,26,Storms,51057,178467000
57,Caribbean,2080,4.5,97,27,Storms,53253,186143000
58,Caribbean,2080,6.0,112,27,Storms,61488,214928000
59,Caribbean,2080,8.5,105,28,Storms,57645,201495000
60,Caribbean,2090,2.6,93,26,Storms,51057,178467000
61,Caribbean,2090,4.5,97,27,Storms,53253,186143000
62,Caribbean,2090,6.0,112,27,Storms,61488,214928000
63,Caribbean,2090,8.5,105,28,Storms,57645,201495000
64,Central America,2020,2.6,41,25,Storms,19188,76137000
65,Central America,2020,4.5,50,25,Storms,23400,92850000
66,Central America,2020,6.0,42,25,Storms,19656,77994000
67,Central America,2020,8.5,54,26,Storms,25272,100278000
68,Central America,2030,2.6,48,26,Storms,22464,89136000
69,Central America,2030,4.5,55,26,Storms,25740,102135000
70,Central America,2030,6.0,54,26,Storms,25272,100278000
71,Central America,2030,8.5,42,26,Storms,19656,77994000
72,Central America,2040,2.6,51,26,Storms,23868,94707000
73,Central America,2040,4.5,46,26,Storms,21528,85422000
74,Central America,2040,6.0,51,26,Storms,23868,94707000
75,Central America,2040,8.5,52,26,Storms,24336,96564000
76,Central America,2050,2.6,51,26,Storms,23868,94707000
77,Central America,2050,4.5,46,26,Storms,21528,85422000
78,Central America,2050,6.0,45,26,Storms,21060,83565000
79,Central America,2050,8.5,36,27,Storms,16848,66852000
80,Central America,2060,2.6,50,26,Storms,23400,92850000
81,Central America,2060,4.5,46,26,Storms,21528,85422000
82,Central America,2060,6.0,51,26,Storms,23868,94707000
