,UN_Geosheme_Subregion,Decade,DO,Human_Impact,Financial_Impact,°C,RCP,Disaster_Type
0,Australia and New Zealand,1960,1,0,600000,21,,Drought
1,Australia and New Zealand,1970,4,0,0,20,,Drought
2,Australia and New Zealand,1980,1,80000,6000000,21,,Drought
3,Australia and New Zealand,1990,3,7000000,2073000,17,,Drought
4,Australia and New Zealand,2000,2,0,2000000,22,,Drought
5,Australia and New Zealand,2010,2,0,2023000,10,,Drought
6,Caribbean,1910,1,0,0,24,,Drought
7,Caribbean,1960,3,550217,6500,24,,Drought
8,Caribbean,1970,2,957000,0,24,,Drought
9,Caribbean,1980,5,178000,0,25,,Drought
10,Caribbean,1990,5,1820000,182000,25,,Drought
11,Caribbean,2000,4,35000,9139,25,,Drought
12,Caribbean,2010,9,4791545,86000,26,,Drought
13,Central America,1960,1,100000,0,23,,Drought
14,Central America,1970,3,300000,7000,22,,Drought
15,Central America,1980,4,154000,0,23,,Drought
16,Central America,1990,12,430000,1633000,23,,Drought
17,Central America,2000,12,3662221,273400,24,,Drought
18,Central America,2010,16,8469805,553669,24,,Drought
19,Central Asia,2000,4,6400000,107000,6,,Drought
20,Eastern Africa,1960,7,4238483,1200,23,,Drought
21,Eastern Africa,1970,8,11640000,77500,23,,Drought
22,Eastern Africa,1980,25,33885767,1000,23,,Drought
23,Eastern Africa,1990,26,65766949,292200,23,,Drought
24,Eastern Africa,2000,43,78608475,0,24,,Drought
25,Eastern Africa,2010,27,74208179,1900000,24,,Drought
26,Eastern Asia,1920,2,20000000,0,6,,Drought
27,Eastern Asia,1960,4,2800000,27118,15,,Drought
28,Eastern Asia,1970,6,6000000,0,15,,Drought
29,Eastern Asia,1980,5,49000000,942887,12,,Drought
30,Eastern Asia,1990,8,133750000,13990300,6,,Drought
31,Eastern Asia,2000,18,241974000,8750115,6,,Drought
32,Eastern Asia,2010,11,110826000,11636000,6,,Drought
33,Eastern Europe,1920,1,5000000,0,5,,Drought
34,Eastern Europe,1980,3,0,500000,9,,Drought
35,Eastern Europe,1990,3,0,384000,0,,Drought
36,Eastern Europe,2000,6,1210394,1006000,8,,Drought
37,Eastern Europe,2010,5,5800,4230000,2,,Drought
38,Melanesia,1980,2,71000,30000,24,,Drought
39,Melanesia,1990,4,763835,0,25,,Drought
40,Melanesia,2010,3,2587000,60000,25,,Drought
41,Micronesia,1990,2,112800,0,27,,Drought
42,Micronesia,2010,3,127384,4900,28,,Drought
43,Middle Africa,1910,1,0,0,26,,Drought
44,Middle Africa,1940,1,0,0,27,,Drought
45,Middle Africa,1960,2,900000,83000,26,,Drought
46,Middle Africa,1970,2,900000,1500,24,,Drought
47,Middle Africa,1980,8,4373000,0,23,,Drought
48,Middle Africa,1990,4,947900,0,25,,Drought
