Decade,UN_Geosheme_Subregion,RCP,°C,Rain
1900,Caribbean,,23.0,0.0
1900,Eastern Asia,,22.0,
1900,Northern America,,6.0,0.0
1900,South-Eastern Asia,,23.0,
1900,Southern Asia,,24.0,
1900,Western Europe,,,0.0
1910,Caribbean,,24.0,
1910,Eastern Asia,,10.0,0.0
1910,Northern America,,4.0,
1910,Polynesia,,26.0,
1910,South-Eastern Asia,,25.0,
1910,Southern Asia,,24.0,
1920,Caribbean,,24.0,
1920,Eastern Asia,,12.0,
1920,Eastern Europe,,8.0,
1920,Northern Africa,,,0.0
1920,Northern America,,6.0,0.0
1920,Polynesia,,26.0,
1920,South-Eastern Asia,,23.0,
1920,Southern Asia,,23.0,0.0
1920,Western Europe,,9.0,0.0
1930,Australia and New Zealand,,,0.0
1930,Caribbean,,24.0,0.0
1930,Central America,,23.0,
1930,Eastern Asia,,14.0,0.0
1930,Melanesia,,23.0,
1930,Northern America,,6.0,0.0
1930,South-Eastern Asia,,25.0,
1930,Southern Asia,,23.0,
1930,Southern Europe,,14.0,
1930,Western Europe,,10.0,0.0
1940,Caribbean,,25.0,0.0
1940,Central America,,,0.0
1940,Eastern Africa,,23.0,
1940,Eastern Asia,,10.0,0.0
1940,Melanesia,,24.0,
1940,Northern America,,5.0,0.0
1940,Polynesia,,26.0,
1940,South America,,24.0,0.0
1940,South-Eastern Asia,,25.0,
1940,Southern Asia,,23.0,
1940,Southern Europe,,12.0,
1940,Western Asia,,,0.0
1950,Australia and New Zealand,,,0.0
1950,Caribbean,,24.0,0.0
1950,Central America,,21.0,0.0
1950,Eastern Africa,,24.0,
1950,Eastern Asia,,11.0,0.0
1950,Melanesia,,24.0,
1950,Northern Africa,,,0.0
1950,Northern America,,5.0,0.0
1950,Northern Europe,,,0.0
1950,Polynesia,,24.0,
1950,South America,,25.0,0.0
1950,South-Eastern Asia,,25.0,0.0
1950,Southern Africa,,17.0,0.0
1950,Southern Asia,,24.0,0.0
1950,Southern Europe,,13.0,0.0
1950,Western Asia,,,0.0
1950,Western Europe,,9.0,0.0
1960,Australia and New Zealand,,9.0,
1960,Caribbean,,24.0,0.0
1960,Central America,,22.0,0.0
1960,Eastern Africa,,22.0,0.0
1960,Eastern Asia,,15.0,0.0
1960,Melanesia,,24.0,0.0
1960,Micronesia,,27.0,
1960,Northern Africa,,,0.0
1960,Northern America,,5.0,0.0
1960,Northern Europe,,8.0,
1960,Polynesia,,26.0,
1960,South America,,17.0,0.0
1960,South-Eastern Asia,,24.0,0.0
1960,Southern Africa,,,0.0
1960,Southern Asia,,24.0,0.0
1960,Southern Europe,,12.0,0.0
1960,Western Africa,,27.0,0.0
1960,Western Asia,,10.0,0.0
1960,Western Europe,,10.0,
1970,Australia and New Zealand,,21.0,0.0
1970,Caribbean,,24.0,0.0
1970,Central America,,22.0,0.0
1970,Eastern Africa,,22.0,0.0
1970,Eastern Asia,,16.0,0.0
1970,Eastern Europe,,,0.0
1970,Melanesia,,24.0,
1970,Micronesia,,27.0,
1970,Middle Africa,,26.0,0.0
1970,Northern Africa,,22.0,0.0
1970,Northern America,,4.0,0.0
1970,Northern Europe,,6.0,0.0
1970,Polynesia,,26.0,
1970,South America,,13.0,0.0
