Decade,UN_Geosheme_Subregion,RCP,Disaster_Type,Financial_Impact,Rain,Human_Impact,DO
2020,Australia and New Zealand,2.6,Flood,697426300.0131028,6.6729175000000005,565633.6577559633,4
2020,Australia and New Zealand,4.5,Flood,697426300.0131028,2.440525,565633.6577559633,4
2020,Australia and New Zealand,6.0,Flood,348713150.0065514,7.790505,282816.82887798164,2
2020,Australia and New Zealand,8.5,Flood,348713150.0065514,2.595395,282816.82887798164,2
2020,Caribbean,2.6,Flood,1917922325.0360322,-6.9089681818181825,1555492.5588288994,11
2020,Caribbean,4.5,Flood,1569209175.029481,-4.411347777777779,1272675.7299509177,9
2020,Caribbean,6.0,Flood,1743565750.0327566,-8.511484999999999,1414084.1443899085,10
2020,Caribbean,8.5,Flood,1743565750.0327566,-3.204981,1414084.1443899085,10
2020,Central America,2.6,Flood,1569209175.029481,-0.42429000000000006,1272675.7299509177,9
2020,Central America,4.5,Flood,2092278900.0393078,-5.75114,1696900.9732678903,12
2020,Central America,6.0,Flood,1917922325.0360322,-1.7389645454545453,1555492.5588288994,11
2020,Central America,8.5,Flood,1569209175.029481,1.6856933333333333,1272675.7299509177,9
2020,Central Asia,2.6,Flood,1394852600.0262053,2.2306487499999994,1131267.3155119268,8
2020,Central Asia,4.5,Flood,1220496025.0229297,7.05627,989858.9010729359,7
2020,Central Asia,6.0,Flood,1569209175.029481,2.407782222222222,1272675.7299509177,9
2020,Central Asia,8.5,Flood,871782875.0163784,3.1337200000000007,707042.0721949541,5
2020,Eastern Africa,2.6,Flood,2789705200.052411,16.48144125,2262534.6310238536,16
2020,Eastern Africa,4.5,Flood,3661488075.0687904,17.357111904761904,2969576.703218808,21
2020,Eastern Africa,6.0,Flood,2964061775.055687,19.969387647058824,2403943.0454628444,17
2020,Eastern Africa,8.5,Flood,3312774925.0622387,20.93474526315789,2686759.874340826,19
2020,Eastern Asia,2.6,Flood,24712906408.024464,-5.046342857142858,20042908.684529163,7
2020,Eastern Asia,4.5,Flood,30101409634.051968,-0.8645512499999999,24413146.499636628,8
2020,Eastern Asia,6.0,Flood,42646803688.98294,2.0995788888888893,34587837.54175421,9
2020,Eastern Asia,8.5,Flood,24887262983.02774,1.5569875,20184317.098968152,8
2020,Eastern Europe,2.6,Flood,2440992050.0458593,1.44627,1979717.802145872,14
2020,Eastern Europe,4.5,Flood,2440992050.0458593,1.59409,1979717.802145872,14
2020,Eastern Europe,6.0,Flood,2440992050.0458593,0.6033192857142858,1979717.802145872,14
2020,Eastern Europe,8.5,Flood,2964061775.055687,0.3593223529411765,2403943.0454628444,17
2020,Melanesia,2.6,Flood,1046139450.019654,40.87943333333333,848450.486633945,6
2020,Melanesia,4.5,Flood,1046139450.019654,32.892566666666674,848450.486633945,6
2020,Melanesia,6.0,Flood,1046139450.019654,26.30235,848450.486633945,6
2020,Melanesia,8.5,Flood,1220496025.0229297,21.19134285714286,989858.9010729359,7
2020,Micronesia,2.6,Flood,819427938.716496,0.755494,664580.6477830462,5
2020,Micronesia,4.5,Flood,819427938.716496,11.498772,664580.6477830462,5
2020,Micronesia,6.0,Flood,819427938.716496,3.609566000000001,664580.6477830462,5
2020,Micronesia,8.5,Flood,671248831.8631616,7.083927499999999,544402.9455500094,4
2020,Middle Africa,2.6,Flood,1569209175.029481,5.76977,1272675.7299509177,9
2020,Middle Africa,4.5,Flood,1917922325.0360322,4.496656363636363,1555492.5588288994,11
2020,Middle Africa,6.0,Flood,1743565750.0327566,-1.7150499999999993,1414084.1443899085,10
2020,Middle Africa,8.5,Flood,1394852600.0262053,-0.8449337500000001,1131267.3155119268,8
2020,Northern Africa,2.6,Flood,1569209175.029481,-0.20308666666666667,1272675.7299509177,9
2020,Northern Africa,4.5,Flood,1917922325.0360322,-0.46275272727272726,1555492.5588288994,11
2020,Northern Africa,6.0,Flood,1394852600.0262053,0.18964375,1131267.3155119268,8
2020,Northern Africa,8.5,Flood,1743565750.0327566,-1.5526790000000001,1414084.1443899085,10
2020,Northern America,2.6,Flood,523069725.0098271,3.6001366666666663,424225.24331697245,3
2020,Northern America,4.5,Flood,523069725.0098271,4.679283333333333,424225.24331697245,3
2020,Northern America,6.0,Flood,523069725.0098271,5.241616666666666,424225.24331697245,3
2020,Northern America,8.5,Flood,523069725.0098271,6.135409999999999,424225.24331697245,3
2020,Northern Europe,2.6,Flood,1917922325.0360322,2.145825454545454,1555492.5588288994,11
2020,Northern Europe,4.5,Flood,1743565750.0327566,2.639458,1414084.1443899085,10
2020,Northern Europe,6.0,Flood,1569209175.029481,1.2005855555555556,1272675.7299509177,9
