,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
0,Australia and New Zealand,2020,2.6,13,16,Drought,3539991,1586988000
1,Australia and New Zealand,2030,2.6,13,16,Drought,3539991,1586988000
2,Australia and New Zealand,2040,2.6,13,16,Drought,3539991,1586988000
3,Australia and New Zealand,2050,2.6,13,16,Drought,3539991,1586988000
4,Australia and New Zealand,2060,2.6,13,16,Drought,3539991,1586988000
5,Australia and New Zealand,2070,2.6,13,16,Drought,3539991,1586988000
6,Australia and New Zealand,2080,2.6,13,16,Drought,3539991,1586988000
7,Australia and New Zealand,2090,2.6,13,16,Drought,3539991,1586988000
8,Caribbean,2020,2.6,54,26,Drought,1108134,58644000
9,Caribbean,2030,2.6,54,26,Drought,1108134,58644000
10,Caribbean,2040,2.6,54,26,Drought,1108134,58644000
11,Caribbean,2050,2.6,54,26,Drought,1108134,58644000
12,Caribbean,2060,2.6,54,26,Drought,1108134,58644000
13,Caribbean,2070,2.6,54,26,Drought,1108134,58644000
14,Caribbean,2080,2.6,54,26,Drought,1108134,58644000
15,Caribbean,2090,2.6,54,26,Drought,1108134,58644000
16,Central America,2020,2.6,55,26,Drought,556600,128480000
17,Central America,2030,2.6,55,26,Drought,556600,128480000
18,Central America,2040,2.6,61,27,Drought,617320,142496000
19,Central America,2050,2.6,61,27,Drought,617320,142496000
20,Central America,2060,2.6,71,27,Drought,718520,165856000
21,Central America,2070,2.6,71,27,Drought,718520,165856000
22,Central America,2080,2.6,61,27,Drought,617320,142496000
23,Central America,2090,2.6,61,27,Drought,617320,142496000
24,Central Asia,2020,2.6,38,7,Drought,15200000,508250000
25,Central Asia,2030,2.6,38,7,Drought,15200000,508250000
26,Central Asia,2040,2.6,38,8,Drought,15200000,508250000
27,Central Asia,2050,2.6,38,8,Drought,15200000,508250000
28,Central Asia,2060,2.6,38,7,Drought,15200000,508250000
29,Central Asia,2070,2.6,38,7,Drought,15200000,508250000
30,Central Asia,2080,2.6,38,8,Drought,15200000,508250000
31,Central Asia,2090,2.6,38,8,Drought,15200000,508250000
32,Eastern Africa,2020,2.6,61,23,Drought,978501,84912000
33,Eastern Africa,2030,2.6,61,23,Drought,978501,84912000
34,Eastern Africa,2040,2.6,68,24,Drought,1090788,94656000
35,Eastern Africa,2050,2.6,68,24,Drought,1090788,94656000
36,Eastern Africa,2060,2.6,70,24,Drought,1122870,97440000
37,Eastern Africa,2070,2.6,70,24,Drought,1122870,97440000
38,Eastern Africa,2080,2.6,68,24,Drought,1090788,94656000
39,Eastern Africa,2090,2.6,68,24,Drought,1090788,94656000
40,Eastern Asia,2020,2.6,13,15,Drought,3881761,500539000
41,Eastern Asia,2030,2.6,13,15,Drought,3881761,500539000
42,Eastern Asia,2040,2.6,14,14,Drought,4180358,539042000
43,Eastern Asia,2050,2.6,14,14,Drought,4180358,539042000
