,UN_Geosheme_Subregion,Decade,DO,Human_Impact,Financial_Impact,°C,RCP,Disaster_Type
0,Australia and New Zealand,1960,1,1000,0,9,,Storms
1,Australia and New Zealand,1970,20,45100,2624815,21,,Storms
2,Australia and New Zealand,1980,23,0,603142,21,,Storms
3,Australia and New Zealand,1990,30,3937650,4077893,20,,Storms
4,Australia and New Zealand,2000,30,36065,2156954,20,,Storms
5,Australia and New Zealand,2010,16,120938,13940100,20,,Storms
6,Australia and New Zealand,2020,1,0,430000,18,,Storms
7,Caribbean,1900,2,0,0,23,,Storms
8,Caribbean,1910,3,0,0,24,,Storms
9,Caribbean,1920,8,0,50000,24,,Storms
10,Caribbean,1930,10,6000,75000,24,,Storms
11,Caribbean,1940,5,0,18000,25,,Storms
12,Caribbean,1950,9,270000,57000,24,,Storms
13,Caribbean,1960,32,332200,1011790,24,,Storms
14,Caribbean,1970,15,1353210,382350,24,,Storms
15,Caribbean,1980,41,2799871,2516446,25,,Storms
16,Caribbean,1990,67,3473395,12484985,25,,Storms
17,Caribbean,2000,94,11133253,16949725,25,,Storms
18,Caribbean,2010,69,14161987,94626452,25,,Storms
19,Caribbean,2020,2,9425,0,24,,Storms
20,Central America,1930,3,0,7500,23,,Storms
21,Central America,1950,5,0,65000,21,,Storms
22,Central America,1960,11,374300,303900,22,,Storms
23,Central America,1970,12,1203800,651380,22,,Storms
24,Central America,1980,14,908732,1425400,22,,Storms
25,Central America,1990,46,4965886,10876710,22,,Storms
26,Central America,2000,63,5538653,12945286,23,,Storms
27,Central America,2010,63,2330935,17845005,22,,Storms
28,Central America,2020,4,427678,220000,22,,Storms
29,Central Asia,1990,2,0,3200,5,,Storms
30,Central Asia,2000,2,9905,234,4,,Storms
31,Central Asia,2010,1,0,0,2,,Storms
32,Eastern Africa,1940,1,0,0,23,,Storms
33,Eastern Africa,1950,2,0,0,24,,Storms
34,Eastern Africa,1960,4,125000,13100,22,,Storms
35,Eastern Africa,1970,13,4099199,794820,22,,Storms
36,Eastern Africa,1980,24,843841,1222777,23,,Storms
37,Eastern Africa,1990,20,3483385,215315,23,,Storms
38,Eastern Africa,2000,50,3553016,689381,23,,Storms
39,Eastern Africa,2010,49,7289581,2749800,23,,Storms
40,Eastern Africa,2020,1,3200,0,23,,Storms
41,Eastern Asia,1900,1,0,20000,22,,Storms
42,Eastern Asia,1910,4,0,90000,10,,Storms
43,Eastern Asia,1920,5,0,10000,12,,Storms
44,Eastern Asia,1930,3,0,50000,14,,Storms
45,Eastern Asia,1940,10,2489871,400000,10,,Storms
46,Eastern Asia,1950,32,3189166,650000,11,,Storms
47,Eastern Asia,1960,41,274923,117222,15,,Storms
48,Eastern Asia,1970,35,405789,2029100,16,,Storms
49,Eastern Asia,1980,83,44325258,6338973,11,,Storms
50,Eastern Asia,1990,143,90551884,42613863,10,,Storms
51,Eastern Asia,2000,177,285652756,72965989,10,,Storms
52,Eastern Asia,2010,191,76541176,130030384,9,,Storms
53,Eastern Asia,2020,5,638100,1100000,12,,Storms
54,Eastern Europe,1920,3,0,0,8,,Storms
55,Eastern Europe,1980,9,11500,17000,9,,Storms
56,Eastern Europe,1990,21,28457,423400,4,,Storms
57,Eastern Europe,2000,45,2685508,1051300,5,,Storms
58,Eastern Europe,2010,16,173197,841100,7,,Storms
59,Eastern Europe,2020,2,0,0,7,,Storms
60,Melanesia,1930,2,0,0,23,,Storms
61,Melanesia,1940,3,0,0,24,,Storms
62,Melanesia,1950,8,0,2950,24,,Storms
63,Melanesia,1960,6,11000,3000,24,,Storms
64,Melanesia,1970,17,175750,23500,24,,Storms
65,Melanesia,1980,22,663451,393307,24,,Storms
66,Melanesia,1990,15,280550,149600,24,,Storms
67,Melanesia,2000,16,256002,117952,24,,Storms
68,Melanesia,2010,20,1089100,1161227,24,,Storms
69,Melanesia,2020,4,4952,13000,24,,Storms
70,Micronesia,1960,1,0,250000,27,,Storms
71,Micronesia,1970,2,700,120000,27,,Storms
72,Micronesia,1980,2,0,6145,27,,Storms
73,Micronesia,1990,3,1400,500000,27,,Storms
74,Micronesia,2000,10,17844,131500,27,,Storms
75,Micronesia,2010,8,46850,11000,27,,Storms
76,Middle Africa,1970,1,0,0,26,,Storms
77,Middle Africa,1980,2,2100,282,25,,Storms
78,Middle Africa,2000,10,84137,0,25,,Storms
79,Middle Africa,2010,8,18869,0,25,,Storms
80,Northern Africa,1970,1,15000,0,22,,Storms
81,Northern Africa,1980,2,10107,0,22,,Storms
82,Northern Africa,1990,2,0,1000,20,,Storms
83,Northern Africa,2000,6,0,50,23,,Storms
84,Northern Africa,2010,7,149600,425000,22,,Storms
85,Northern America,1900,6,0,30000,6,,Storms
86,Northern America,1910,6,0,290000,4,,Storms
87,Northern America,1920,6,0,138000,6,,Storms
88,Northern America,1930,6,0,333000,6,,Storms
89,Northern America,1940,15,0,200500,5,,Storms
90,Northern America,1950,31,0,1965000,5,,Storms
91,Northern America,1960,33,458,4733000,5,,Storms
92,Northern America,1970,29,2446,7262500,4,,Storms
93,Northern America,1980,97,1055600,24833700,6,,Storms
94,Northern America,1990,175,3381336,87724150,6,,Storms
95,Northern America,2000,139,8598737,310793430,6,,Storms
96,Northern America,2010,155,87934658,415132000,7,,Storms
97,Northern America,2020,4,12000,3625000,6,,Storms
98,Northern Europe,1960,1,700,2500,8,,Storms
99,Northern Europe,1970,4,0,0,6,,Storms
100,Northern Europe,1980,12,0,1896500,8,,Storms
101,Northern Europe,1990,39,1045200,11434989,7,,Storms
102,Northern Europe,2000,24,23580,8715050,7,,Storms
