Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
16.431982, 2020-2039, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
17.35987, 2020-2039, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
24.440668, 2020-2039, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
16.702179, 2020-2039, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
6.676105000000001, 2020-2039, ipsl_cm5a_mr, May Average, Afghanistan, AFG
4.644922, 2020-2039, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
3.7071089999999995, 2020-2039, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
2.3815734, 2020-2039, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
4.286794, 2020-2039, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
3.6948627999999997, 2020-2039, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
10.736574000000001, 2020-2039, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
17.808985, 2020-2039, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
23.009026000000002, 2040-2059, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
17.064242999999998, 2040-2059, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
15.985835999999999, 2040-2059, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
14.006654999999999, 2040-2059, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
7.625531, 2040-2059, ipsl_cm5a_mr, May Average, Afghanistan, AFG
5.5735564, 2040-2059, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
2.588232, 2040-2059, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
3.1393602, 2040-2059, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
3.8024182, 2040-2059, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
4.065935, 2040-2059, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
11.19973, 2040-2059, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
15.25115, 2040-2059, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
22.327835, 2060-2079, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
15.823127, 2060-2079, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
24.346825, 2060-2079, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
11.936878, 2060-2079, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
5.272929, 2060-2079, ipsl_cm5a_mr, May Average, Afghanistan, AFG
5.0343222999999995, 2060-2079, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
4.5031223, 2060-2079, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
3.1235362999999996, 2060-2079, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
3.9149933, 2060-2079, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
4.205955, 2060-2079, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
8.389749, 2060-2079, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
16.256445000000003, 2060-2079, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
17.105944, 2080-2099, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
18.333078, 2080-2099, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
16.044037, 2080-2099, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
11.858882000000001, 2080-2099, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
5.114730000000001, 2080-2099, ipsl_cm5a_mr, May Average, Afghanistan, AFG
4.375993, 2080-2099, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
2.5535767000000003, 2080-2099, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
1.9070509999999998, 2080-2099, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
9.085552, 2080-2099, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
6.787511299999999, 2080-2099, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
9.716855, 2080-2099, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
14.57285, 2080-2099, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
86.716415, 2020-2039, ipsl_cm5a_mr, Jan Average, Albania, ALB
64.96965, 2020-2039, ipsl_cm5a_mr, Feb Average, Albania, ALB
41.806564, 2020-2039, ipsl_cm5a_mr, Mar Average, Albania, ALB
26.271143, 2020-2039, ipsl_cm5a_mr, Apr Average, Albania, ALB
18.79616, 2020-2039, ipsl_cm5a_mr, May Average, Albania, ALB
46.528812, 2020-2039, ipsl_cm5a_mr, Jun Average, Albania, ALB
38.857754, 2020-2039, ipsl_cm5a_mr, Jul Average, Albania, ALB
11.397160000000001, 2020-2039, ipsl_cm5a_mr, Aug Average, Albania, ALB
27.410694, 2020-2039, ipsl_cm5a_mr, Sep Average, Albania, ALB
34.491825, 2020-2039, ipsl_cm5a_mr, Oct Average, Albania, ALB
67.51380999999999, 2020-2039, ipsl_cm5a_mr, Nov Average, Albania, ALB
100.63542, 2020-2039, ipsl_cm5a_mr, Dec Average, Albania, ALB
83.42704, 2040-2059, ipsl_cm5a_mr, Jan Average, Albania, ALB
48.142016999999996, 2040-2059, ipsl_cm5a_mr, Feb Average, Albania, ALB
29.025398, 2040-2059, ipsl_cm5a_mr, Mar Average, Albania, ALB
18.792461, 2040-2059, ipsl_cm5a_mr, Apr Average, Albania, ALB
14.100598000000002, 2040-2059, ipsl_cm5a_mr, May Average, Albania, ALB
22.393597, 2040-2059, ipsl_cm5a_mr, Jun Average, Albania, ALB
21.2677, 2040-2059, ipsl_cm5a_mr, Jul Average, Albania, ALB
11.250069, 2040-2059, ipsl_cm5a_mr, Aug Average, Albania, ALB
21.450029999999998, 2040-2059, ipsl_cm5a_mr, Sep Average, Albania, ALB
35.209559999999996, 2040-2059, ipsl_cm5a_mr, Oct Average, Albania, ALB
68.96767, 2040-2059, ipsl_cm5a_mr, Nov Average, Albania, ALB
90.22310999999999, 2040-2059, ipsl_cm5a_mr, Dec Average, Albania, ALB
72.039825, 2060-2079, ipsl_cm5a_mr, Jan Average, Albania, ALB
50.38927, 2060-2079, ipsl_cm5a_mr, Feb Average, Albania, ALB
39.171203999999996, 2060-2079, ipsl_cm5a_mr, Mar Average, Albania, ALB
16.843464, 2060-2079, ipsl_cm5a_mr, Apr Average, Albania, ALB
10.415962, 2060-2079, ipsl_cm5a_mr, May Average, Albania, ALB
17.957532999999998, 2060-2079, ipsl_cm5a_mr, Jun Average, Albania, ALB
24.84058, 2060-2079, ipsl_cm5a_mr, Jul Average, Albania, ALB
12.830332, 2060-2079, ipsl_cm5a_mr, Aug Average, Albania, ALB
18.68829, 2060-2079, ipsl_cm5a_mr, Sep Average, Albania, ALB
49.313576, 2060-2079, ipsl_cm5a_mr, Oct Average, Albania, ALB
54.778976, 2060-2079, ipsl_cm5a_mr, Nov Average, Albania, ALB
91.730354, 2060-2079, ipsl_cm5a_mr, Dec Average, Albania, ALB
69.30977, 2080-2099, ipsl_cm5a_mr, Jan Average, Albania, ALB
42.56222, 2080-2099, ipsl_cm5a_mr, Feb Average, Albania, ALB
36.07801, 2080-2099, ipsl_cm5a_mr, Mar Average, Albania, ALB
14.11684, 2080-2099, ipsl_cm5a_mr, Apr Average, Albania, ALB
10.369007, 2080-2099, ipsl_cm5a_mr, May Average, Albania, ALB
10.205223, 2080-2099, ipsl_cm5a_mr, Jun Average, Albania, ALB
14.138853, 2080-2099, ipsl_cm5a_mr, Jul Average, Albania, ALB
6.0481186, 2080-2099, ipsl_cm5a_mr, Aug Average, Albania, ALB
