Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,22.781558875
1,2040-2059,23.204697375000002
1,2060-2079,23.610796625
1,2080-2099,23.710938
2,2020-2039,22.939462687499997
2,2040-2059,23.3735175
2,2060-2079,23.846234250000002
2,2080-2099,23.927541250000004
3,2020-2039,23.477061562500005
3,2040-2059,23.8609074375
3,2060-2079,24.351769625000006
3,2080-2099,24.485151375
4,2020-2039,23.690951375
4,2040-2059,24.164648374999995
4,2060-2079,24.523228062500003
4,2080-2099,24.677535875000004
5,2020-2039,23.602871312499996
5,2040-2059,24.0311410625
5,2060-2079,24.396780375000002
5,2080-2099,24.546774499999998
6,2020-2039,23.5124345
6,2040-2059,23.931040187499995
6,2060-2079,24.314487937499997
6,2080-2099,24.453404874999997
7,2020-2039,23.531539125
7,2040-2059,23.965905562500005
7,2060-2079,24.4314425625
7,2080-2099,24.516700625000002
8,2020-2039,23.8975656875
8,2040-2059,24.3164905
8,2060-2079,24.868583562499996
8,2080-2099,24.980101437499997
9,2020-2039,24.363310812500004
9,2040-2059,24.827556499999996
9,2060-2079,25.394156125
9,2080-2099,25.525362625
10,2020-2039,24.599394312500003
10,2040-2059,25.063711375000004
10,2060-2079,25.5834294375
10,2080-2099,25.7642803125
11,2020-2039,24.322032562500002
11,2040-2059,24.765041374999996
11,2060-2079,25.2689065625
11,2080-2099,25.4125339375
12,2020-2039,23.35708525
12,2040-2059,23.8194998125
12,2060-2079,24.2267223125
12,2080-2099,24.323536562500003
