Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
89.327034, 2080-2099, gfdl_cm3, Dec Average, France, FRA
111.90391, 2080-2099, gfdl_esm2m, Jan Average, France, FRA
98.553276, 2080-2099, gfdl_esm2m, Feb Average, France, FRA
82.696, 2080-2099, gfdl_esm2m, Mar Average, France, FRA
86.32975, 2080-2099, gfdl_esm2m, Apr Average, France, FRA
84.90598, 2080-2099, gfdl_esm2m, May Average, France, FRA
63.407932, 2080-2099, gfdl_esm2m, Jun Average, France, FRA
53.591084, 2080-2099, gfdl_esm2m, Jul Average, France, FRA
51.867718, 2080-2099, gfdl_esm2m, Aug Average, France, FRA
65.70054, 2080-2099, gfdl_esm2m, Sep Average, France, FRA
86.98003, 2080-2099, gfdl_esm2m, Oct Average, France, FRA
115.999466, 2080-2099, gfdl_esm2m, Nov Average, France, FRA
117.47852, 2080-2099, gfdl_esm2m, Dec Average, France, FRA
97.199295, 2080-2099, giss_e2_h, Jan Average, France, FRA
85.21027, 2080-2099, giss_e2_h, Feb Average, France, FRA
96.81805, 2080-2099, giss_e2_h, Mar Average, France, FRA
93.519775, 2080-2099, giss_e2_h, Apr Average, France, FRA
77.84442, 2080-2099, giss_e2_h, May Average, France, FRA
80.88879, 2080-2099, giss_e2_h, Jun Average, France, FRA
68.506905, 2080-2099, giss_e2_h, Jul Average, France, FRA
84.77849, 2080-2099, giss_e2_h, Aug Average, France, FRA
97.488434, 2080-2099, giss_e2_h, Sep Average, France, FRA
112.20175, 2080-2099, giss_e2_h, Oct Average, France, FRA
105.89893, 2080-2099, giss_e2_h, Nov Average, France, FRA
100.57442, 2080-2099, giss_e2_h, Dec Average, France, FRA
118.126434, 2080-2099, giss_e2_r, Jan Average, France, FRA
80.84435, 2080-2099, giss_e2_r, Feb Average, France, FRA
89.66203, 2080-2099, giss_e2_r, Mar Average, France, FRA
86.10337, 2080-2099, giss_e2_r, Apr Average, France, FRA
73.00726, 2080-2099, giss_e2_r, May Average, France, FRA
79.707596, 2080-2099, giss_e2_r, Jun Average, France, FRA
84.9407, 2080-2099, giss_e2_r, Jul Average, France, FRA
83.92008, 2080-2099, giss_e2_r, Aug Average, France, FRA
69.60206, 2080-2099, giss_e2_r, Sep Average, France, FRA
102.99641, 2080-2099, giss_e2_r, Oct Average, France, FRA
103.38876, 2080-2099, giss_e2_r, Nov Average, France, FRA
108.12764, 2080-2099, giss_e2_r, Dec Average, France, FRA
117.99595, 2080-2099, ipsl_cm5a_mr, Jan Average, France, FRA
98.69171, 2080-2099, ipsl_cm5a_mr, Feb Average, France, FRA
90.6636, 2080-2099, ipsl_cm5a_mr, Mar Average, France, FRA
55.801178, 2080-2099, ipsl_cm5a_mr, Apr Average, France, FRA
30.423563, 2080-2099, ipsl_cm5a_mr, May Average, France, FRA
20.868807, 2080-2099, ipsl_cm5a_mr, Jun Average, France, FRA
26.549425, 2080-2099, ipsl_cm5a_mr, Jul Average, France, FRA
20.579355, 2080-2099, ipsl_cm5a_mr, Aug Average, France, FRA
30.105513, 2080-2099, ipsl_cm5a_mr, Sep Average, France, FRA
58.422195, 2080-2099, ipsl_cm5a_mr, Oct Average, France, FRA
108.7942, 2080-2099, ipsl_cm5a_mr, Nov Average, France, FRA
128.07703, 2080-2099, ipsl_cm5a_mr, Dec Average, France, FRA
96.384766, 2080-2099, miroc_esm, Jan Average, France, FRA
82.180176, 2080-2099, miroc_esm, Feb Average, France, FRA
97.3258, 2080-2099, miroc_esm, Mar Average, France, FRA
101.89947, 2080-2099, miroc_esm, Apr Average, France, FRA
96.22845, 2080-2099, miroc_esm, May Average, France, FRA
73.69027, 2080-2099, miroc_esm, Jun Average, France, FRA
75.07136, 2080-2099, miroc_esm, Jul Average, France, FRA
80.330376, 2080-2099, miroc_esm, Aug Average, France, FRA
71.06229, 2080-2099, miroc_esm, Sep Average, France, FRA
104.54659, 2080-2099, miroc_esm, Oct Average, France, FRA
123.40403, 2080-2099, miroc_esm, Nov Average, France, FRA
121.56241, 2080-2099, miroc_esm, Dec Average, France, FRA
103.77296, 2080-2099, miroc_esm_chem, Jan Average, France, FRA
92.08507, 2080-2099, miroc_esm_chem, Feb Average, France, FRA
95.072754, 2080-2099, miroc_esm_chem, Mar Average, France, FRA
96.36321, 2080-2099, miroc_esm_chem, Apr Average, France, FRA
91.69248, 2080-2099, miroc_esm_chem, May Average, France, FRA
65.11778, 2080-2099, miroc_esm_chem, Jun Average, France, FRA
70.50986, 2080-2099, miroc_esm_chem, Jul Average, France, FRA
88.82183, 2080-2099, miroc_esm_chem, Aug Average, France, FRA
71.24321, 2080-2099, miroc_esm_chem, Sep Average, France, FRA
97.34156, 2080-2099, miroc_esm_chem, Oct Average, France, FRA
