Rainfall - (MM), Year, Statistics, Country, ISO3
75.606, 1931, Jan Average, France, FRA
64.6243, 1931, Feb Average, France, FRA
77.8756, 1931, Mar Average, France, FRA
62.6318, 1931, Apr Average, France, FRA
93.4258, 1931, May Average, France, FRA
38.5394, 1931, Jun Average, France, FRA
79.8784, 1931, Jul Average, France, FRA
122.393, 1931, Aug Average, France, FRA
62.2374, 1931, Sep Average, France, FRA
67.2279, 1931, Oct Average, France, FRA
99.8741, 1931, Nov Average, France, FRA
39.0991, 1931, Dec Average, France, FRA
51.6097, 1932, Jan Average, France, FRA
10.3398, 1932, Feb Average, France, FRA
74.087, 1932, Mar Average, France, FRA
87.3052, 1932, Apr Average, France, FRA
102.151, 1932, May Average, France, FRA
82.432, 1932, Jun Average, France, FRA
109.999, 1932, Jul Average, France, FRA
57.9208, 1932, Aug Average, France, FRA
96.7729, 1932, Sep Average, France, FRA
103.733, 1932, Oct Average, France, FRA
46.0666, 1932, Nov Average, France, FRA
64.7761, 1932, Dec Average, France, FRA
36.5757, 1933, Jan Average, France, FRA
50.528, 1933, Feb Average, France, FRA
58.6515, 1933, Mar Average, France, FRA
33.95, 1933, Apr Average, France, FRA
69.3535, 1933, May Average, France, FRA
89.6299, 1933, Jun Average, France, FRA
37.9534, 1933, Jul Average, France, FRA
30.7778, 1933, Aug Average, France, FRA
112.661, 1933, Sep Average, France, FRA
94.5021, 1933, Oct Average, France, FRA
74.7138, 1933, Nov Average, France, FRA
49.9738, 1933, Dec Average, France, FRA
50.28, 1934, Jan Average, France, FRA
17.0558, 1934, Feb Average, France, FRA
82.4284, 1934, Mar Average, France, FRA
89.7236, 1934, Apr Average, France, FRA
33.3239, 1934, May Average, France, FRA
59.136, 1934, Jun Average, France, FRA
34.0702, 1934, Jul Average, France, FRA
83.7025, 1934, Aug Average, France, FRA
47.1373, 1934, Sep Average, France, FRA
61.8568, 1934, Oct Average, France, FRA
113.184, 1934, Nov Average, France, FRA
120.122, 1934, Dec Average, France, FRA
43.3892, 1935, Jan Average, France, FRA
84.4627, 1935, Feb Average, France, FRA
53.5723, 1935, Mar Average, France, FRA
82.9123, 1935, Apr Average, France, FRA
73.371, 1935, May Average, France, FRA
61.2713, 1935, Jun Average, France, FRA
31.2136, 1935, Jul Average, France, FRA
87.4145, 1935, Aug Average, France, FRA
68.6264, 1935, Sep Average, France, FRA
97.995, 1935, Oct Average, France, FRA
123.988, 1935, Nov Average, France, FRA
134.634, 1935, Dec Average, France, FRA
126.163, 1936, Jan Average, France, FRA
79.3573, 1936, Feb Average, France, FRA
66.7407, 1936, Mar Average, France, FRA
90.809, 1936, Apr Average, France, FRA
59.2957, 1936, May Average, France, FRA
83.9786, 1936, Jun Average, France, FRA
105.418, 1936, Jul Average, France, FRA
35.9095, 1936, Aug Average, France, FRA
