Rainfall - (MM), Year, Statistics, Country, ISO3
55.856, 1991, Jan Average, France, FRA
37.6039, 1991, Feb Average, France, FRA
76.209, 1991, Mar Average, France, FRA
50.321, 1991, Apr Average, France, FRA
36.3691, 1991, May Average, France, FRA
69.6719, 1991, Jun Average, France, FRA
56.495, 1991, Jul Average, France, FRA
25.3255, 1991, Aug Average, France, FRA
97.2219, 1991, Sep Average, France, FRA
77.1235, 1991, Oct Average, France, FRA
92.0291, 1991, Nov Average, France, FRA
35.3224, 1991, Dec Average, France, FRA
28.5376, 1992, Jan Average, France, FRA
34.0157, 1992, Feb Average, France, FRA
59.3621, 1992, Mar Average, France, FRA
55.2602, 1992, Apr Average, France, FRA
64.2209, 1992, May Average, France, FRA
109.801, 1992, Jun Average, France, FRA
67.431, 1992, Jul Average, France, FRA
89.5658, 1992, Aug Average, France, FRA
69.1763, 1992, Sep Average, France, FRA
123.215, 1992, Oct Average, France, FRA
103.178, 1992, Nov Average, France, FRA
70.8559, 1992, Dec Average, France, FRA
42.6855, 1993, Jan Average, France, FRA
17.3965, 1993, Feb Average, France, FRA
20.345, 1993, Mar Average, France, FRA
104.995, 1993, Apr Average, France, FRA
77.9192, 1993, May Average, France, FRA
86.6152, 1993, Jun Average, France, FRA
63.3686, 1993, Jul Average, France, FRA
41.641, 1993, Aug Average, France, FRA
157.384, 1993, Sep Average, France, FRA
119.675, 1993, Oct Average, France, FRA
44.7586, 1993, Nov Average, France, FRA
114.768, 1993, Dec Average, France, FRA
105.368, 1994, Jan Average, France, FRA
85.8265, 1994, Feb Average, France, FRA
34.522, 1994, Mar Average, France, FRA
88.54, 1994, Apr Average, France, FRA
92.7677, 1994, May Average, France, FRA
61.2597, 1994, Jun Average, France, FRA
51.1653, 1994, Jul Average, France, FRA
58.1945, 1994, Aug Average, France, FRA
148.012, 1994, Sep Average, France, FRA
81.5849, 1994, Oct Average, France, FRA
74.8861, 1994, Nov Average, France, FRA
73.4066, 1994, Dec Average, France, FRA
119.087, 1995, Jan Average, France, FRA
91.8989, 1995, Feb Average, France, FRA
71.8115, 1995, Mar Average, France, FRA
65.1319, 1995, Apr Average, France, FRA
83.6108, 1995, May Average, France, FRA
28.9311, 1995, Jun Average, France, FRA
55.1727, 1995, Jul Average, France, FRA
48.525, 1995, Aug Average, France, FRA
107.371, 1995, Sep Average, France, FRA
43.0465, 1995, Oct Average, France, FRA
59.4605, 1995, Nov Average, France, FRA
99.9073, 1995, Dec Average, France, FRA
81.9973, 1996, Jan Average, France, FRA
72.8591, 1996, Feb Average, France, FRA
37.0307, 1996, Mar Average, France, FRA
40.6357, 1996, Apr Average, France, FRA
83.6875, 1996, May Average, France, FRA
39.1187, 1996, Jun Average, France, FRA
62.2532, 1996, Jul Average, France, FRA
80.299, 1996, Aug Average, France, FRA
55.4159, 1996, Sep Average, France, FRA
55.2818, 1996, Oct Average, France, FRA
158.744, 1996, Nov Average, France, FRA
81.138, 1996, Dec Average, France, FRA
56.6295, 1997, Jan Average, France, FRA
62.0508, 1997, Feb Average, France, FRA
11.7778, 1997, Mar Average, France, FRA
25.7382, 1997, Apr Average, France, FRA
87.4732, 1997, May Average, France, FRA
126.183, 1997, Jun Average, France, FRA
54.5362, 1997, Jul Average, France, FRA
77.3294, 1997, Aug Average, France, FRA
23.173, 1997, Sep Average, France, FRA
55.1717, 1997, Oct Average, France, FRA
113.912, 1997, Nov Average, France, FRA
99.0871, 1997, Dec Average, France, FRA
82.9989, 1998, Jan Average, France, FRA
18.1291, 1998, Feb Average, France, FRA
33.9601, 1998, Mar Average, France, FRA
144.53, 1998, Apr Average, France, FRA
49.7803, 1998, May Average, France, FRA
55.4818, 1998, Jun Average, France, FRA
44.1814, 1998, Jul Average, France, FRA
35.2551, 1998, Aug Average, France, FRA
117.924, 1998, Sep Average, France, FRA
108.646, 1998, Oct Average, France, FRA
55.955, 1998, Nov Average, France, FRA
65.399, 1998, Dec Average, France, FRA
84.9245, 1999, Jan Average, France, FRA
62.339, 1999, Feb Average, France, FRA
63.089, 1999, Mar Average, France, FRA
