Rainfall - (MM), Year, Statistics, Country, ISO3
95.1072, 1961, Jan Average, France, FRA
47.2175, 1961, Feb Average, France, FRA
7.17757, 1961, Mar Average, France, FRA
82.6658, 1961, Apr Average, France, FRA
60.1019, 1961, May Average, France, FRA
56.038, 1961, Jun Average, France, FRA
59.8399, 1961, Jul Average, France, FRA
31.0565, 1961, Aug Average, France, FRA
54.1774, 1961, Sep Average, France, FRA
100.482, 1961, Oct Average, France, FRA
98.5174, 1961, Nov Average, France, FRA
82.4064, 1961, Dec Average, France, FRA
85.0691, 1962, Jan Average, France, FRA
54.2914, 1962, Feb Average, France, FRA
83.0121, 1962, Mar Average, France, FRA
67.4713, 1962, Apr Average, France, FRA
72.5632, 1962, May Average, France, FRA
25.7672, 1962, Jun Average, France, FRA
42.3111, 1962, Jul Average, France, FRA
33.0498, 1962, Aug Average, France, FRA
65.8301, 1962, Sep Average, France, FRA
50.3938, 1962, Oct Average, France, FRA
99.5098, 1962, Nov Average, France, FRA
78.1935, 1962, Dec Average, France, FRA
50.191, 1963, Jan Average, France, FRA
57.0551, 1963, Feb Average, France, FRA
77.9745, 1963, Mar Average, France, FRA
70.167, 1963, Apr Average, France, FRA
54.6574, 1963, May Average, France, FRA
111.306, 1963, Jun Average, France, FRA
49.0979, 1963, Jul Average, France, FRA
133.627, 1963, Aug Average, France, FRA
75.8211, 1963, Sep Average, France, FRA
43.5201, 1963, Oct Average, France, FRA
116.809, 1963, Nov Average, France, FRA
35.3331, 1963, Dec Average, France, FRA
21.4306, 1964, Jan Average, France, FRA
65.835, 1964, Feb Average, France, FRA
88.5565, 1964, Mar Average, France, FRA
67.5621, 1964, Apr Average, France, FRA
67.6559, 1964, May Average, France, FRA
52.4468, 1964, Jun Average, France, FRA
32.4477, 1964, Jul Average, France, FRA
56.8417, 1964, Aug Average, France, FRA
63.8476, 1964, Sep Average, France, FRA
82.913, 1964, Oct Average, France, FRA
56.6421, 1964, Nov Average, France, FRA
65.1922, 1964, Dec Average, France, FRA
96.2648, 1965, Jan Average, France, FRA
15.7785, 1965, Feb Average, France, FRA
82.2613, 1965, Mar Average, France, FRA
53.0118, 1965, Apr Average, France, FRA
72.5456, 1965, May Average, France, FRA
55.5447, 1965, Jun Average, France, FRA
75.241, 1965, Jul Average, France, FRA
89.4343, 1965, Aug Average, France, FRA
151.336, 1965, Sep Average, France, FRA
46.3045, 1965, Oct Average, France, FRA
115.517, 1965, Nov Average, France, FRA
135.913, 1965, Dec Average, France, FRA
74.9784, 1966, Jan Average, France, FRA
99.9486, 1966, Feb Average, France, FRA
34.8155, 1966, Mar Average, France, FRA
93.9467, 1966, Apr Average, France, FRA
67.2058, 1966, May Average, France, FRA
66.7875, 1966, Jun Average, France, FRA
65.5057, 1966, Jul Average, France, FRA
71.5726, 1966, Aug Average, France, FRA
35.2415, 1966, Sep Average, France, FRA
139.097, 1966, Oct Average, France, FRA
98.2949, 1966, Nov Average, France, FRA
101.526, 1966, Dec Average, France, FRA
43.2671, 1967, Jan Average, France, FRA
60.2825, 1967, Feb Average, France, FRA
52.3761, 1967, Mar Average, France, FRA
33.8549, 1967, Apr Average, France, FRA
91.9233, 1967, May Average, France, FRA
38.6382, 1967, Jun Average, France, FRA
29.4191, 1967, Jul Average, France, FRA
59.183, 1967, Aug Average, France, FRA
80.959, 1967, Sep Average, France, FRA
74.8547, 1967, Oct Average, France, FRA
96.733, 1967, Nov Average, France, FRA
64.003, 1967, Dec Average, France, FRA
73.8478, 1968, Jan Average, France, FRA
81.111, 1968, Feb Average, France, FRA
38.035, 1968, Mar Average, France, FRA
67.4207, 1968, Apr Average, France, FRA
90.0536, 1968, May Average, France, FRA
64.4563, 1968, Jun Average, France, FRA
62.5473, 1968, Jul Average, France, FRA
111.401, 1968, Aug Average, France, FRA
118.315, 1968, Sep Average, France, FRA
49.0404, 1968, Oct Average, France, FRA
76.7006, 1968, Nov Average, France, FRA
79.998, 1968, Dec Average, France, FRA
59.7846, 1969, Jan Average, France, FRA
57.4695, 1969, Feb Average, France, FRA
84.4429, 1969, Mar Average, France, FRA
78.2433, 1969, Apr Average, France, FRA
92.2836, 1969, May Average, France, FRA
79.6697, 1969, Jun Average, France, FRA
51.0351, 1969, Jul Average, France, FRA
64.8971, 1969, Aug Average, France, FRA
82.0602, 1969, Sep Average, France, FRA
17.3281, 1969, Oct Average, France, FRA
102.583, 1969, Nov Average, France, FRA
70.1934, 1969, Dec Average, France, FRA
82.8848, 1970, Jan Average, France, FRA
107.146, 1970, Feb Average, France, FRA
66.9228, 1970, Mar Average, France, FRA
67.4081, 1970, Apr Average, France, FRA
58.1469, 1970, May Average, France, FRA
82.147, 1970, Jun Average, France, FRA
38.3501, 1970, Jul Average, France, FRA
69.9569, 1970, Aug Average, France, FRA
38.7336, 1970, Sep Average, France, FRA
75.1919, 1970, Oct Average, France, FRA
83.3581, 1970, Nov Average, France, FRA
46.5781, 1970, Dec Average, France, FRA
81.8201, 1971, Jan Average, France, FRA
33.7612, 1971, Feb Average, France, FRA
69.6079, 1971, Mar Average, France, FRA
66.3639, 1971, Apr Average, France, FRA
95.7075, 1971, May Average, France, FRA
94.349, 1971, Jun Average, France, FRA
55.0168, 1971, Jul Average, France, FRA
71.01, 1971, Aug Average, France, FRA
45.7501, 1971, Sep Average, France, FRA
26.5261, 1971, Oct Average, France, FRA
93.062, 1971, Nov Average, France, FRA
43.6041, 1971, Dec Average, France, FRA
83.2186, 1972, Jan Average, France, FRA
101.623, 1972, Feb Average, France, FRA
56.6071, 1972, Mar Average, France, FRA
65.8746, 1972, Apr Average, France, FRA
69.5511, 1972, May Average, France, FRA
80.9087, 1972, Jun Average, France, FRA
53.8836, 1972, Jul Average, France, FRA
76.358, 1972, Aug Average, France, FRA
53.8397, 1972, Sep Average, France, FRA
57.6762, 1972, Oct Average, France, FRA
92.645, 1972, Nov Average, France, FRA
56.2966, 1972, Dec Average, France, FRA
52.8094, 1973, Jan Average, France, FRA
56.1266, 1973, Feb Average, France, FRA
16.8811, 1973, Mar Average, France, FRA
48.2985, 1973, Apr Average, France, FRA
80.7158, 1973, May Average, France, FRA
63.9235, 1973, Jun Average, France, FRA
77.4754, 1973, Jul Average, France, FRA
44.4924, 1973, Aug Average, France, FRA
73.773, 1973, Sep Average, France, FRA
65.5037, 1973, Oct Average, France, FRA
46.7834, 1973, Nov Average, France, FRA
80.5913, 1973, Dec Average, France, FRA
64.3698, 1974, Jan Average, France, FRA
87.2824, 1974, Feb Average, France, FRA
79.3815, 1974, Mar Average, France, FRA
52.5347, 1974, Apr Average, France, FRA
64.384, 1974, May Average, France, FRA
67.0582, 1974, Jun Average, France, FRA
43.4812, 1974, Jul Average, France, FRA
66.9115, 1974, Aug Average, France, FRA
116.841, 1974, Sep Average, France, FRA
106.76, 1974, Oct Average, France, FRA
94.208, 1974, Nov Average, France, FRA
45.1696, 1974, Dec Average, France, FRA
77.6143, 1975, Jan Average, France, FRA
27.7846, 1975, Feb Average, France, FRA
88.8635, 1975, Mar Average, France, FRA
51.3448, 1975, Apr Average, France, FRA
90.9245, 1975, May Average, France, FRA
51.4368, 1975, Jun Average, France, FRA
40.4743, 1975, Jul Average, France, FRA
78.4175, 1975, Aug Average, France, FRA
119.246, 1975, Sep Average, France, FRA
35.6449, 1975, Oct Average, France, FRA
107.674, 1975, Nov Average, France, FRA
45.8753, 1975, Dec Average, France, FRA
32.7195, 1976, Jan Average, France, FRA
54.5952, 1976, Feb Average, France, FRA
34.8488, 1976, Mar Average, France, FRA
43.7636, 1976, Apr Average, France, FRA
38.9801, 1976, May Average, France, FRA
11.1009, 1976, Jun Average, France, FRA
62.7847, 1976, Jul Average, France, FRA
56.4211, 1976, Aug Average, France, FRA
104.726, 1976, Sep Average, France, FRA
124.346, 1976, Oct Average, France, FRA
99.0987, 1976, Nov Average, France, FRA
83.9374, 1976, Dec Average, France, FRA
93.3592, 1977, Jan Average, France, FRA
106.75, 1977, Feb Average, France, FRA
71.5092, 1977, Mar Average, France, FRA
63.3008, 1977, Apr Average, France, FRA
122.534, 1977, May Average, France, FRA
98.4455, 1977, Jun Average, France, FRA
104.563, 1977, Jul Average, France, FRA
89.5455, 1977, Aug Average, France, FRA
15.7224, 1977, Sep Average, France, FRA
88.6477, 1977, Oct Average, France, FRA
78.9407, 1977, Nov Average, France, FRA
78.0204, 1977, Dec Average, France, FRA
105.996, 1978, Jan Average, France, FRA
91.0703, 1978, Feb Average, France, FRA
105.513, 1978, Mar Average, France, FRA
77.0869, 1978, Apr Average, France, FRA
81.5523, 1978, May Average, France, FRA
66.7517, 1978, Jun Average, France, FRA
57.6502, 1978, Jul Average, France, FRA
41.6373, 1978, Aug Average, France, FRA
36.5835, 1978, Sep Average, France, FRA
18.9399, 1978, Oct Average, France, FRA
15.5946, 1978, Nov Average, France, FRA
121.825, 1978, Dec Average, France, FRA
98.0128, 1979, Jan Average, France, FRA
93.5002, 1979, Feb Average, France, FRA
116.132, 1979, Mar Average, France, FRA
73.1114, 1979, Apr Average, France, FRA
85.7219, 1979, May Average, France, FRA
56.4388, 1979, Jun Average, France, FRA
31.4965, 1979, Jul Average, France, FRA
