Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
99.239914, 2040-2059, bcc_csm1_1, Jan Average, France, FRA
89.09593, 2040-2059, bcc_csm1_1, Feb Average, France, FRA
93.39163, 2040-2059, bcc_csm1_1, Mar Average, France, FRA
65.038925, 2040-2059, bcc_csm1_1, Apr Average, France, FRA
54.7903, 2040-2059, bcc_csm1_1, May Average, France, FRA
37.070282, 2040-2059, bcc_csm1_1, Jun Average, France, FRA
21.877346, 2040-2059, bcc_csm1_1, Jul Average, France, FRA
31.313137, 2040-2059, bcc_csm1_1, Aug Average, France, FRA
52.55757, 2040-2059, bcc_csm1_1, Sep Average, France, FRA
76.465744, 2040-2059, bcc_csm1_1, Oct Average, France, FRA
109.669235, 2040-2059, bcc_csm1_1, Nov Average, France, FRA
113.77011, 2040-2059, bcc_csm1_1, Dec Average, France, FRA
162.90038, 2040-2059, bcc_csm1_1_m, Jan Average, France, FRA
113.41303, 2040-2059, bcc_csm1_1_m, Feb Average, France, FRA
109.06132, 2040-2059, bcc_csm1_1_m, Mar Average, France, FRA
83.11816, 2040-2059, bcc_csm1_1_m, Apr Average, France, FRA
48.37442, 2040-2059, bcc_csm1_1_m, May Average, France, FRA
31.231525, 2040-2059, bcc_csm1_1_m, Jun Average, France, FRA
20.049654, 2040-2059, bcc_csm1_1_m, Jul Average, France, FRA
22.79042, 2040-2059, bcc_csm1_1_m, Aug Average, France, FRA
34.95679, 2040-2059, bcc_csm1_1_m, Sep Average, France, FRA
78.122536, 2040-2059, bcc_csm1_1_m, Oct Average, France, FRA
117.72406, 2040-2059, bcc_csm1_1_m, Nov Average, France, FRA
142.88545, 2040-2059, bcc_csm1_1_m, Dec Average, France, FRA
110.72371, 2040-2059, ccsm4, Jan Average, France, FRA
96.166565, 2040-2059, ccsm4, Feb Average, France, FRA
75.78652, 2040-2059, ccsm4, Mar Average, France, FRA
66.82351, 2040-2059, ccsm4, Apr Average, France, FRA
76.02273, 2040-2059, ccsm4, May Average, France, FRA
68.85353, 2040-2059, ccsm4, Jun Average, France, FRA
