Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
107.45246, 2020-2039, bcc_csm1_1, Jan Average, France, FRA
87.061874, 2020-2039, bcc_csm1_1, Feb Average, France, FRA
72.507225, 2020-2039, bcc_csm1_1, Mar Average, France, FRA
65.19334, 2020-2039, bcc_csm1_1, Apr Average, France, FRA
48.763985, 2020-2039, bcc_csm1_1, May Average, France, FRA
39.994038, 2020-2039, bcc_csm1_1, Jun Average, France, FRA
33.704567, 2020-2039, bcc_csm1_1, Jul Average, France, FRA
25.22128, 2020-2039, bcc_csm1_1, Aug Average, France, FRA
51.890404, 2020-2039, bcc_csm1_1, Sep Average, France, FRA
90.709015, 2020-2039, bcc_csm1_1, Oct Average, France, FRA
105.80331, 2020-2039, bcc_csm1_1, Nov Average, France, FRA
116.71958, 2020-2039, bcc_csm1_1, Dec Average, France, FRA
116.96555, 2020-2039, bcc_csm1_1_m, Jan Average, France, FRA
112.4427, 2020-2039, bcc_csm1_1_m, Feb Average, France, FRA
107.41204, 2020-2039, bcc_csm1_1_m, Mar Average, France, FRA
81.88145, 2020-2039, bcc_csm1_1_m, Apr Average, France, FRA
51.49089, 2020-2039, bcc_csm1_1_m, May Average, France, FRA
39.16913, 2020-2039, bcc_csm1_1_m, Jun Average, France, FRA
23.238087, 2020-2039, bcc_csm1_1_m, Jul Average, France, FRA
23.7932, 2020-2039, bcc_csm1_1_m, Aug Average, France, FRA
38.024998, 2020-2039, bcc_csm1_1_m, Sep Average, France, FRA
86.52804, 2020-2039, bcc_csm1_1_m, Oct Average, France, FRA
119.43435, 2020-2039, bcc_csm1_1_m, Nov Average, France, FRA
138.04344, 2020-2039, bcc_csm1_1_m, Dec Average, France, FRA
111.343315, 2020-2039, ccsm4, Jan Average, France, FRA
85.52602, 2020-2039, ccsm4, Feb Average, France, FRA
75.99655, 2020-2039, ccsm4, Mar Average, France, FRA
69.31927, 2020-2039, ccsm4, Apr Average, France, FRA
79.31925, 2020-2039, ccsm4, May Average, France, FRA
69.95974, 2020-2039, ccsm4, Jun Average, France, FRA
64.107315, 2020-2039, ccsm4, Jul Average, France, FRA
53.355946, 2020-2039, ccsm4, Aug Average, France, FRA
54.072243, 2020-2039, ccsm4, Sep Average, France, FRA
87.218506, 2020-2039, ccsm4, Oct Average, France, FRA
116.40414, 2020-2039, ccsm4, Nov Average, France, FRA
125.66344, 2020-2039, ccsm4, Dec Average, France, FRA
96.65061, 2020-2039, cesm1_cam5, Jan Average, France, FRA
67.65428, 2020-2039, cesm1_cam5, Feb Average, France, FRA
71.66885, 2020-2039, cesm1_cam5, Mar Average, France, FRA
70.45764, 2020-2039, cesm1_cam5, Apr Average, France, FRA
83.65574, 2020-2039, cesm1_cam5, May Average, France, FRA
79.88551, 2020-2039, cesm1_cam5, Jun Average, France, FRA
55.711426, 2020-2039, cesm1_cam5, Jul Average, France, FRA
51.29001, 2020-2039, cesm1_cam5, Aug Average, France, FRA
60.022236, 2020-2039, cesm1_cam5, Sep Average, France, FRA
66.70349, 2020-2039, cesm1_cam5, Oct Average, France, FRA
97.47245, 2020-2039, cesm1_cam5, Nov Average, France, FRA
102.85785, 2020-2039, cesm1_cam5, Dec Average, France, FRA
109.77031, 2020-2039, csiro_mk3_6_0, Jan Average, France, FRA
108.075294, 2020-2039, csiro_mk3_6_0, Feb Average, France, FRA
119.49227, 2020-2039, csiro_mk3_6_0, Mar Average, France, FRA
103.093414, 2020-2039, csiro_mk3_6_0, Apr Average, France, FRA
83.95741, 2020-2039, csiro_mk3_6_0, May Average, France, FRA
56.484966, 2020-2039, csiro_mk3_6_0, Jun Average, France, FRA
39.825554, 2020-2039, csiro_mk3_6_0, Jul Average, France, FRA
40.2716, 2020-2039, csiro_mk3_6_0, Aug Average, France, FRA
65.05399, 2020-2039, csiro_mk3_6_0, Sep Average, France, FRA
107.31102, 2020-2039, csiro_mk3_6_0, Oct Average, France, FRA
120.05209, 2020-2039, csiro_mk3_6_0, Nov Average, France, FRA
129.53348, 2020-2039, csiro_mk3_6_0, Dec Average, France, FRA
