Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-23.537642124999998
1,2040-2059,-22.5149736875
1,2060-2079,-20.83344765625
1,2080-2099,-19.25992925
2,2020-2039,-23.160883812500003
2,2040-2059,-22.0521739375
2,2060-2079,-20.8884995625
2,2080-2099,-19.190961500000004
3,2020-2039,-18.5634900625
3,2040-2059,-17.78971765625
3,2060-2079,-16.558569499999997
3,2080-2099,-15.2446470625
4,2020-2039,-10.231506275
4,2040-2059,-9.614740393750001
4,2060-2079,-8.5611864875
4,2080-2099,-7.47908240625
5,2020-2039,-1.1097229081250002
5,2040-2059,-0.5698624259999999
5,2060-2079,0.2509927181249999
5,2080-2099,1.0549323675
6,2020-2039,6.07830436875
6,2040-2059,6.5993070375
6,2060-2079,7.361004624999999
6,2080-2099,8.131480806249998
7,2020-2039,9.4921468125
7,2040-2059,9.95085436875
7,2060-2079,10.69861109375
7,2080-2099,11.45606109375
8,2020-2039,7.7232821
8,2040-2059,8.23788558125
8,2060-2079,8.964275425
8,2080-2099,9.83845853125
9,2020-2039,2.641927306875
9,2040-2059,3.3372755375
9,2060-2079,4.0496482625
9,2080-2099,5.006995583125001
10,2020-2039,-4.27560988375
10,2040-2059,-3.4273257625000006
10,2060-2079,-2.3772930375
10,2080-2099,-1.2666417537499999
11,2020-2039,-12.54911910625
11,2040-2059,-11.367620243749998
11,2060-2079,-9.95942076875
11,2080-2099,-8.5260101625
12,2020-2039,-19.896798374999996
12,2040-2059,-18.469529562500004
12,2060-2079,-17.012832781249998
12,2080-2099,-15.2534287875
